CountyFIPS,NAICS,Employment
1077,71,438
1077,72,4303
1077,81,665
1077,92,1564
1079,11,0
1079,21,0
1079,22,200
1079,23,382
1079,31,194
1079,42,160
1079,44,793
1079,48,147
1079,51,16
1079,52,204
1079,53,10
1079,54,74
1079,56,190
1079,61,1631
1079,62,0
1079,71,0
1079,72,0
1079,81,88
1079,92,500
1081,11,0
1081,21,0
1081,22,468
1081,23,2667
1081,31,6354
1081,42,1722
1081,44,7250
1081,48,3653
1081,51,531
1081,52,1086
1081,53,732
1081,54,1846
1081,55,167
1081,56,5399
1081,61,7554
1081,62,8836
1081,71,1090
1081,72,8768
1081,81,1317
1081,92,1830
1083,11,0
1083,21,0
1083,22,1826
1083,23,2526
1083,31,4153
1083,42,1050
1083,44,3442
1083,48,706
1083,51,257
1083,52,447
1083,53,177
1083,54,706
1083,55,93
1083,56,633
1083,61,148
1083,62,1632
1083,71,132
1083,72,2012
1083,81,587
1083,92,1139
1085,11,0
1085,21,0
1085,22,0
1085,23,116
1085,31,876
1085,42,0
1085,44,200
1085,48,116
1085,51,0
1085,52,66
1085,53,11
1085,54,31
1085,55,0
1085,56,0
1085,61,0
1085,62,0
1085,71,0
1085,72,0
1085,81,0
1085,92,158
1087,11,144
1087,21,0
1087,22,0
1087,23,90
1087,31,0
1087,42,41
1087,44,411
1087,48,60
1087,51,0
1087,52,38
1087,53,36
1087,54,0
1087,55,0
1087,56,105
1087,61,0
1087,62,1045
1087,71,0
1087,72,0
1087,81,0
1087,92,366
1089,11,610
1089,21,114
1089,22,1103
1089,23,6862
1089,31,21981
1089,42,4858
1089,44,22018
1089,48,1363
1089,51,2443
1089,52,4095
1089,53,2231
1089,54,42462
1089,55,725
1089,56,18079
1089,61,23964
1089,62,33913
1089,71,3935
1089,72,18369
1089,81,3679
1089,92,21155
1091,11,728
1091,22,0
1091,23,441
1091,31,1416
1091,42,0
1091,44,840
1091,48,232
1091,51,29
1091,52,205
1091,53,61
1091,54,104
1091,55,26
1091,56,493
1091,61,1207
1091,62,622
1091,71,36
1091,72,473
1091,81,186
1091,92,418
1093,11,0
1093,21,0
1093,22,52
1093,23,130
1093,31,3682
1093,42,399
1093,44,1087
1093,48,324
1093,51,30
1093,52,392
1093,53,63
1093,54,65
1093,55,9
1093,56,349
1093,61,0
1093,62,0
1093,71,35
1093,72,797
1093,81,156
1093,92,563
1095,11,0
1095,21,0
1095,22,576
1095,23,1289
1095,31,12584
1095,42,1477
1095,44,4766
1095,48,1288
1095,51,413
1095,52,901
1095,53,451
1095,54,623
1095,55,375
1095,56,1916
1095,61,4647
1095,62,5124
1095,71,207
1095,72,3806
1095,81,623
1095,92,1472
1097,11,1321
1097,21,274
1097,22,1845
1097,23,11340
1097,31,18826
1097,42,8578
1097,44,20169
1097,48,10692
1097,51,2085
1097,52,5808
1097,53,2698
1097,54,9359
1097,55,1563
1097,56,15005
1097,61,10884
1097,62,32776
1097,71,1763
1097,72,17239
1097,81,5811
1097,92,7725
1099,11,0
1099,21,0
1099,22,40
1099,23,172
1099,31,1234
1099,42,452
1099,44,774
1099,48,628
1099,51,49
1099,52,166
1099,53,41
1099,54,1
1099,55,0
1099,56,221
1099,61,0
1099,62,0
1099,71,0
1099,72,0
1099,81,84
1099,92,252
1101,11,0
1101,21,0
1101,22,658
1101,23,4704
1101,31,13416
1101,42,5547
1101,44,12676
1101,48,6061
1101,51,2125
1101,52,4663
1101,53,1535
1101,54,7147
1101,55,912
1101,56,12092
1101,61,9292
1101,62,21976
1101,71,1767
1101,72,11448
1101,81,3929
1101,92,18198
1103,11,92
1103,21,99
1103,22,107
1103,23,3626
1103,31,13197
1103,42,2295
1103,44,5515
1103,48,2002
1103,51,255
1103,52,1445
1103,53,442
1103,54,1754
1103,55,662
1103,56,3525
1103,61,6036
1103,62,7222
1103,71,404
1103,72,4570
1103,81,1000
1103,92,2108
1105,11,67
1105,22,0
1105,23,68
1105,31,465
1105,42,0
1105,44,160
1105,48,22
1105,51,0
1105,52,50
1105,53,7
1105,54,0
1105,55,0
1105,56,19
1105,61,565
1105,62,329
1105,72,225
1105,81,0
1105,92,65
1107,11,0
1107,21,0
1107,22,41
1107,23,82
1107,31,699
1107,42,0
1107,44,416
1107,48,91
1107,51,40
1107,52,0
1107,53,0
1107,54,49
1107,55,0
1107,56,0
1107,61,0
1107,62,0
1107,71,7
1107,72,151
1107,81,316
1107,92,590
1109,11,254
1109,22,0
1109,23,335
1109,31,2074
1109,42,0
1109,44,1629
1109,48,2353
1109,51,196
1109,52,393
1109,53,148
1109,54,935
1109,55,94
1109,56,325
1109,61,0
1109,62,0
1109,71,51
1109,72,1656
1109,81,229
1109,92,985
1111,11,153
1111,21,49
1111,22,0
1111,23,186
1111,31,983
1111,42,0
1111,44,767
1111,48,261
1111,51,33
1111,52,139
1111,53,27
1111,54,54
1111,56,72
1111,61,1156
1111,62,0
1111,71,0
1111,72,0
1111,81,68
1111,92,74
1113,11,134
1113,21,33
1113,22,67
1113,23,732
1113,31,2998
1113,42,216
1113,44,1949
1113,48,573
1113,51,90
1113,52,596
1113,53,200
1113,54,257
1113,55,22
1113,56,465
1113,61,2622
1113,62,2171
1113,71,69
1113,72,1694
1113,81,291
1113,92,193
1115,11,0
1115,21,0
1115,22,186
1115,23,1791
1115,31,3502
1115,42,1219
1115,44,3244
1115,48,597
1115,51,164
1115,52,489
1115,53,94
1115,54,736
1115,55,40
1115,56,763
1115,61,3203
1115,62,2474
1115,71,72
1115,72,2486
1115,81,741
1115,92,1242
1117,11,313
1117,21,498
1117,22,2142
1117,23,5989
1117,31,5613
1117,42,6211
1117,44,10786
1117,48,2496
1117,51,1044
1117,52,9697
1117,53,1330
1117,54,6619
1117,55,2188
1117,56,6169
1117,61,11517
1117,62,9948
1117,71,1254
1117,72,8559
1117,81,2747
1117,92,2749
1119,11,115
1119,22,0
1119,23,54
1119,31,342
1119,42,0
1119,44,274
1119,48,170
1119,51,14
1119,52,68
1119,53,19
1119,54,5
1119,55,0
1119,56,188
1119,61,0
1119,62,0
1119,71,13
1119,72,294
1119,81,37
1119,92,302
1121,11,0
1121,21,0
1121,22,295
1121,23,1292
1121,31,9942
1121,42,613
1121,44,2519
1121,48,1955
1121,51,104
1121,52,536
1121,53,241
1121,54,452
1121,55,72
1121,56,2186
1121,61,3406
1121,62,0
1121,71,463
1121,72,2166
1121,81,469
1121,92,1515
1123,11,0
1123,21,0
1123,22,49
1123,23,414
1123,31,2521
1123,42,162
1123,44,1489
1123,48,267
1123,51,117
1123,52,227
1123,53,104
1123,54,246
1123,55,219
1123,56,1920
1123,61,1764
1123,62,3052
1123,71,293
1123,72,1043
1123,81,257
1123,92,1016
1125,11,376
1125,21,1840
1125,22,307
1125,23,4917
1125,31,16194
1125,42,2072
1125,44,10538
1125,48,3603
1125,51,1862
1125,52,2144
1125,53,1686
1125,54,3475
1125,55,528
1125,56,8134
1125,61,1481
1125,62,10590
1125,71,1313
1125,72,10980
1125,81,1806
1125,92,3247
1127,11,306
1127,21,282
1127,22,424
1127,23,774
1127,31,2425
1127,42,529
1127,44,3125
1127,48,459
1127,51,109
1127,52,520
1127,53,185
1127,54,408
1127,55,0
1127,56,0
1127,61,43
1127,62,4600
1127,71,104
1127,72,2186
1127,81,526
1127,92,967
1129,11,0
1129,21,0
1129,22,317
1129,23,139
1129,31,1010
1129,42,270
1129,44,260
1129,48,244
1129,51,0
1129,52,0
1129,53,0
1129,54,0
1129,55,0
1129,56,133
1129,61,0
1129,62,0
1129,72,54
1129,81,0
1129,92,190
1131,11,180
1131,22,0
1131,23,81
1131,31,931
1131,42,0
1131,44,228
1131,48,137
1131,51,64
1131,52,81
1131,53,7
1131,54,37
1131,56,27
1131,61,0
1131,62,0
1131,71,0
1131,72,0
1131,81,52
1131,92,392
1133,11,0
1133,21,0
1133,22,0
1133,23,150
1133,31,3626
1133,42,338
1133,44,722
1133,48,58
1133,51,0
1133,52,180
1133,53,24
1133,54,109
1133,55,18
1133,56,82
1133,61,1213
1133,62,1020
1133,71,0
1133,72,24
1133,81,0
1133,92,329
2013,11,0
2013,22,0
2013,23,0
2013,31,2027
2013,44,47
2013,48,9
2013,51,12
2013,53,0
2013,54,1
2013,55,0
2013,56,0
2013,61,298
2013,62,0
2013,71,0
2013,72,0
2013,81,0
2013,92,223
2016,11,0
2016,21,0
2016,22,0
2016,23,59
2016,31,1718
2016,42,150
2016,44,0
2016,48,437
2016,51,29
2016,52,0
2016,53,0
2016,54,5
2016,55,0
2016,56,112
2016,61,0
2016,62,117
2016,71,0
2016,72,0
2016,81,40
2016,92,446
2020,11,350
2020,21,2935
2020,22,910
2020,23,7937
2020,31,2171
2020,42,5232
2020,44,17135
2020,48,11356
2020,51,3374
2020,52,4606
2020,53,2600
2020,54,9569
2020,55,1746
2020,56,7193
2020,61,5047
2020,62,29116
2020,71,2753
2020,72,15689
2020,81,5068
2020,92,15182
2050,21,0
2050,22,151
2050,23,127
2050,31,0
2050,42,68
2050,44,809
2050,48,482
2050,51,0
2050,52,28
2050,53,363
2050,54,1
2050,55,0
2050,56,68
2050,61,5272
2050,62,0
2050,71,46
2050,72,53
2050,81,424
2050,92,1793
2060,11,0
2060,21,0
2060,22,0
2060,23,47
2060,31,686
2060,44,0
2060,48,74
2060,51,0
2060,52,0
2060,53,0
2060,54,2
2060,56,0
2060,61,0
2060,62,0
2060,71,34
2060,72,129
2060,81,3
2060,92,14
2068,21,0
2068,22,0
2068,23,0
2068,44,0
2068,48,114
2068,51,0
2068,52,0
2068,53,0
2068,54,13
2068,56,60
2068,61,0
2068,62,27
2068,71,268
2068,72,1156
2068,81,0
2068,92,85
2070,21,0
2070,22,0
2070,23,4
2070,31,653
2070,42,0
2070,44,201
2070,48,73
2070,51,0
2070,52,0
2070,53,0
2070,54,0
2070,55,26
2070,56,0
2070,61,0
2070,62,0
2070,71,9
2070,72,86
2070,81,0
2070,92,33
2090,11,363
2090,21,867
2090,22,537
2090,23,2827
2090,31,587
2090,42,685
2090,44,5003
2090,48,2242
2090,51,387
2090,52,622
2090,53,598
2090,54,1639
2090,55,155
2090,56,1172
2090,61,852
2090,62,6683
2090,71,742
2090,72,4274
2090,81,896
2090,92,4159
2100,11,0
2100,21,0
2100,22,0
2100,23,94
2100,31,0
2100,44,123
2100,48,4
2100,51,17
2100,52,0
2100,53,0
2100,54,5
2100,56,28
2100,61,28
2100,62,151
2100,71,153
2100,72,114
2100,81,27
2100,92,9
2105,11,0
2105,22,0
2105,23,0
2105,31,42
2105,42,0
2105,44,74
2105,48,41
2105,51,0
2105,53,0
2105,61,24
2105,62,62
2105,71,81
2105,72,0
2105,81,14
2105,92,218
2110,11,128
2110,21,966
2110,22,0
2110,23,645
2110,31,388
2110,42,0
2110,44,1854
2110,48,1504
2110,51,259
2110,52,187
2110,53,245
2110,54,520
2110,55,87
2110,56,450
2110,61,321
2110,62,1848
2110,71,357
2110,72,1418
2110,81,642
2110,92,4622
2122,11,199
2122,21,937
2122,22,296
2122,23,952
2122,31,992
2122,42,242
2122,44,2637
2122,48,1040
2122,51,241
2122,52,288
2122,53,249
2122,54,490
2122,55,28
2122,56,295
2122,61,1447
2122,62,3673
2122,71,333
2122,72,2464
