stop_zone,x_coord,y_coord
138,116.502,360.856
139,127.143,357.446
141,116.389,367.106
142,124.697,353.183
143,142.221,341.833
144,117,433.448
145,136.145,349.403
146,140.711,344.849
147,55.127,385.953
148,55.189,361.095
149,104.039,325.924
150,126.848,355.747
151,182.791,-214.763
152,118.475,-407.132
153,183.646,-312.322
154,-2032.295,2242.578
155,-1296.452,-76.411
156,-1297.923,-157.838
157,-1231.268,24.019
158,-140.106,-122.175
159,-1540.538,90.778
160,-1690.29,501.735
161,-1580.2,-12.042
162,-1773.616,433.164
163,-1610.233,327.991
164,-782.047,298.668
165,-906.535,235.128
166,912.598,423.978
167,880.475,405.406
168,938.228,412.944
169,786.488,209.336
170,705.534,192.847
171,486.218,-431.906
172,591.985,-706.129
173,510.402,-542.141
174,454.254,-585.326
175,417.381,-473.101
176,316.166,-200.312
177,500.74,-308.708
178,378.358,-285.835
181,-1207.246,746.919
183,2.866,150.333
184,60.808,232.533
185,154.12,303.231
186,210.89,210.622
187,211.582,292.623
188,-171.045,381.174
189,-252.057,158.863
190,-459.246,155.904
191,245.575,100.004
192,322.057,89.597
193,-72.238,-421.583
194,-194.759,-448.661
195,-10.361,-457.502
196,-139.536,-360.035
197,1023.557,712.754
198,727.999,227.254
199,697.666,205.653
200,769.619,181.274
201,974.722,477.121
202,891.392,466.231
203,365.582,420.441
204,236.84,446.475
205,272.019,543.244
206,-163.318,589.38
207,-194.581,683.959
208,19.429,-275.214
209,-227.259,182.225
210,-30.318,140.825
211,-128.155,116.421
212,-911.975,857.471
213,-501.185,376.118
214,-1465.296,307.324
215,-1430.053,478.411
216,940.285,570.666
217,829.556,329.377
218,807.966,261.889
219,826.473,249.434
220,-928.196,-64.596
221,831.122,488.585
222,588.913,452.864
223,844.485,396.307
224,647.613,484.566
225,708.406,503.959
226,520.843,-74.651
227,570.258,-14.885
228,629.133,-36.391
229,688.914,-57.893
230,-474.206,789.005
231,302.12,176.335
232,454.232,339.721
233,380.688,237.465
234,311.881,228.899
235,435.219,264.421
236,-419.817,-63.452
237,-342.043,-9.105
238,-495.325,-0.619
239,-1565.011,981.479
240,-1512.174,826.148
241,771.397,293.475
242,533.057,288.866
243,648.438,344.602
244,964.078,431.623
245,583.423,-232.497
246,448.091,-121.319
247,535.313,-179.621
248,-494.678,579.911
249,-2.262,-97.549
250,183.289,-37.415
251,290.595,-60.344
252,-463.877,-418.362
253,-257.817,-443.107
254,-477.381,-612.896
255,-406.47,-236.419
256,-966.598,-248.514
257,-330.239,-459.3
258,-581.308,-583.153
259,-526.207,-471.377
260,-585.591,-305.986
261,-1181.239,476.56
262,-1157.374,310.427
263,869.672,580.758
264,689.189,93.541
265,758.875,47.317
266,682.973,175.092
267,609.386,96.325
268,-1466.836,1118.726
269,-1392.09,1055.4
270,484.927,131.672
271,102.808,449.083
272,8.36,555.817
273,-881.511,550.544
