Zone,mesozone,totalemp
631,18,1607
632,18,1222
633,18,509
634,18,355
635,18,407
636,18,1055
637,18,2735
638,18,7699
639,18,1226
640,18,147
641,18,368
642,18,2341
643,22,132
644,18,288
645,18,491
646,18,166
647,18,703
648,18,2410
649,19,1205
650,19,875
651,19,875
652,19,2582
653,19,472
654,19,3054
655,19,5538
656,19,4182
657,19,2386
658,19,567
659,19,1200
660,19,1078
661,21,1370
662,21,1090
663,21,397
664,21,2572
665,21,736
666,21,225
667,22,424
668,22,167
669,22,656
670,22,2331
671,22,956
672,22,4637
673,22,4
674,22,98
675,22,7167
676,22,231
677,22,1770
678,22,6115
679,23,1416
680,23,1216
681,23,1872
682,23,10309
683,23,1169
684,23,4520
685,23,2583
686,23,1426
687,23,830
688,23,1415
689,23,1158
690,23,1115
691,23,2121
692,23,1388
693,23,703
694,23,2694
695,23,1022
696,23,1587
697,23,1484
698,23,3511
699,23,3471
700,23,1749
701,23,590
702,23,1046
703,23,1409
704,23,2859
705,23,1673
706,23,1013
707,23,2998
708,24,716
709,24,3178
710,24,746
711,25,1119
712,25,220
713,25,249
714,25,2529
715,25,3709
716,25,489
717,25,3457
718,25,7015
719,25,5094
720,25,1335
721,25,1120
722,25,3445
723,26,0
724,26,3
725,26,376
726,26,2978
727,26,682
728,26,1000
729,26,58
730,26,806
731,26,922
732,26,953
733,26,663
734,26,674
735,26,1184
736,26,1679
737,26,1452
738,26,116
739,26,730
740,26,67
741,26,2656
742,26,67
743,26,191
744,26,1406
745,26,361
746,26,601
747,26,1440
748,26,2083
749,26,1921
750,26,805
751,26,620
752,26,1474
753,26,1306
754,26,202
755,26,221
756,26,527
757,26,2180
758,26,907
759,27,851
760,27,225
761,27,781
762,27,1588
763,27,336
764,27,382
765,27,919
766,27,445
767,27,596
768,27,432
769,27,1673
770,27,1102
771,27,4448
772,27,859
773,27,1973
774,27,804
775,27,331
776,27,403
777,27,1266
778,27,1519
779,27,2112
780,27,1393
781,27,704
782,27,3682
783,27,749
784,27,1468
785,27,1985
786,27,691
787,27,23
788,27,2772
789,27,2001
790,27,2482
791,27,1044
792,27,388
793,27,63
794,27,1171
795,27,621
796,27,1
797,27,903
798,27,901
799,27,357
800,27,286
801,27,3270
802,27,536
803,27,1537
804,27,198
805,27,1129
806,27,1268
807,28,969
808,28,386
809,28,431
810,28,1586
811,28,1283
812,28,475
813,28,158
814,28,460
815,28,75
816,28,2286
817,28,2027
818,28,1297
819,28,149
820,28,557
821,28,633
822,28,123
823,28,6
824,28,18
825,28,114
826,28,620
827,28,215
828,28,395
829,28,327
830,28,519
831,28,1498
832,28,359
833,28,786
834,29,811
835,29,307
836,29,243
837,29,238
838,29,2273
839,29,385
840,29,389
841,29,4127
842,29,1292
843,29,4246
844,29,864
845,29,224
846,29,1562
847,29,1459
848,29,3136
849,29,2219
850,29,1803
851,29,769
852,29,998
853,29,462
854,29,520
855,30,0
856,30,51
857,30,260
858,30,1736
859,34,4
860,34,844
861,34,4
862,34,13
863,38,37
864,38,50
865,38,5
866,38,2205
867,42,31
868,42,337
869,42,8
870,42,80
871,31,16
872,31,50
873,31,15
874,31,16
875,35,11
876,35,37
877,35,126
878,35,403
879,39,243
880,39,162
881,39,243
882,39,72
883,43,1255
884,43,101
885,43,36
886,43,100
887,32,575
888,32,7
889,32,18
890,32,15
891,36,13
892,36,182
893,36,2508
894,36,90
895,40,3897
896,40,2161
897,40,20
898,40,673
899,40,2346
900,40,61
901,40,26
902,40,33
903,40,1473
904,44,337
905,44,22
906,44,13
907,44,691
908,44,43
909,44,878
910,44,565
911,44,2507
912,44,920
913,33,1187
914,33,135
915,33,28
916,33,371
917,33,1786
918,33,194
919,33,348
920,37,264
921,37,539
922,37,122
923,37,497
924,37,252
925,37,116
926,37,1686
927,37,250
928,37,263
929,37,3011
930,37,3501
931,37,178
932,41,26
933,41,7524
934,41,1359
935,41,117
936,41,53
937,41,589
938,41,50
939,41,416
940,41,3659
941,41,2328
942,41,621
943,41,91
944,45,724
945,45,1971
946,45,364
947,45,1411
948,45,6560
949,45,3954
950,45,307
951,45,1068
952,45,1690
953,45,1463
954,45,1886
955,45,4665
956,45,2050
957,45,558
958,45,90
959,46,94
960,46,44
961,46,0
962,46,100
963,46,264
964,46,239
965,50,1490
966,50,700
967,50,944
968,50,336
969,50,264
970,50,2695
971,54,274
972,54,421
973,54,711
974,54,3745
975,54,120
976,54,2865
977,58,146
978,58,716
979,58,3480
980,58,211
981,58,828
982,58,4005
983,47,2787
984,47,28
985,47,8
986,47,1304
987,47,676
988,47,89
989,47,151
990,47,1586
991,47,374
992,51,141
993,51,2026
994,51,576
995,51,2571
996,51,2757
997,51,3078
998,51,669
999,51,769
1000,51,4383
1001,55,165
1002,55,219
1003,55,3379
1004,55,96
1005,55,1489
1006,55,2100
1007,55,269
1008,55,346
1009,55,693
1010,59,999
1011,59,632
1012,59,420
1013,59,4682
1014,59,4427
1015,59,1022
1016,59,608
1017,59,2719
1018,59,729
1019,48,363
1020,48,164
1021,48,310
1022,48,550
1023,52,1250
1024,52,1632
1025,52,2275
1026,52,2811
1027,52,3299
1028,52,1453
1029,52,5275
1030,52,224
1031,52,1307
1032,52,3014
1033,52,173
1034,52,5726
1035,56,1203
1036,56,1370
1037,56,2396
1038,56,3018
1039,56,2063
1040,56,250
1041,56,4939
1042,56,1872
1043,56,451
1044,56,6968
1045,56,5267
1046,56,6564
1047,60,3300
1048,60,11671
1049,60,2888
1050,60,1011
1051,60,12465
1052,60,8704
1053,60,2618
1054,60,10954
1055,60,8416
1056,49,41
1057,49,489
1058,49,83
1059,49,1767
1060,49,3884
1061,49,72
1062,49,701
1063,49,1102
1064,53,21
1065,53,482
1066,53,38
1067,53,14
1068,53,361
1069,53,614
1070,53,564
1071,53,0
1072,53,551
1073,53,1229
1074,53,658
1075,53,103
1076,53,2661
1077,53,2209
1078,53,5748
1079,53,717
1080,53,2119
1081,53,868
1082,53,12
1083,53,484
1084,53,16410
1085,57,1737
1086,57,1818
1087,57,833
1088,57,225
1089,57,3082
1090,57,5
1091,57,570
1092,57,246
1093,57,41
1094,57,2732
1095,57,592
1096,57,532
1097,57,345
1098,57,396
1099,57,1848
1100,57,56
1101,57,3267
1102,57,3151
1103,57,19
1104,61,121
1105,61,27
1106,61,755
1107,61,39
1108,61,1995
1109,61,83
1110,61,176
1111,61,290
1112,61,3604
1113,61,455
1114,61,654
1115,61,1516
1116,61,356
1117,61,1259
1118,61,2807
1119,61,197
1120,61,1018
1121,61,8719
1122,61,212
1123,61,232
1124,61,1134
1125,61,970
1126,61,559
1127,61,115
1128,61,9975
1129,61,696
1130,61,5568
1131,61,1896
1132,61,782
1133,61,1137
1134,62,27
1135,62,480
1136,62,455
1137,62,2236
1138,65,109
1139,65,88
1140,65,151
1141,65,37
1142,68,83
1143,68,100
1144,68,100
1145,68,25
1146,71,35
1147,71,528
1148,71,97
1149,71,166
1150,74,26
1151,74,2549
1152,74,29
1153,74,154
1154,63,1154
1155,63,299
1156,63,319
1157,63,935
1158,66,35
1159,66,481
1160,66,44
1161,66,164
1162,69,212
1163,69,248
1164,69,503
1165,69,1142
1166,72,1094
1167,72,792
1168,72,99
1169,72,457
1170,75,1903
1171,75,828
1172,75,209
1173,75,475
1174,75,0
1175,75,8
1176,75,4
1177,75,162
1178,75,17
