COUNTY,MESOZONE,rank11,rank21,rank22,rank23,rank3133,rank42,rank4445,rank4849,rank51,rank52,rank53,rank54,rank55,rank56,rank61,rank62,rank71,rank72,rank81,rank92,rank99
17089,65,1,,,1,1,1,,1,,,,1,,1,,,,1,,,
17089,66,2,,,1,1,1,1,1,,,,1,,1,1,1,,1,1,1,
17089,67,1,10,,8,8,8,6,7,10,3,4,8,3,10,10,7,7,4,6,5,3
17089,68,1,,,1,1,1,1,1,,,,1,,,,1,,1,1,1,
17089,69,3,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,
17089,70,1,,,3,4,3,4,2,8,5,7,10,1,2,4,2,3,3,4,2,2
17089,71,2,,,1,1,1,,,,,,1,,1,1,,,,1,,
17089,72,,,,2,1,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
17089,73,1,,5,5,3,6,10,3,5,2,5,4,10,3,2,3,4,6,10,10,5
17089,74,1,,,1,1,1,1,1,,,1,1,,1,,,1,,1,,
17089,75,,,,1,1,1,1,1,1,1,2,1,,1,1,1,1,1,1,1,1
17089,76,5,,10,10,10,10,8,10,2,10,10,6,5,6,7,10,10,8,8,7,10
17043,77,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,2
17043,78,10,4,,6,7,7,6,3,1,1,2,1,2,1,2,2,2,6,2,3,2
17043,79,1,1,2,10,10,10,4,10,10,3,10,2,3,7,1,3,3,2,5,2,4
17043,80,8,,,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
17043,81,1,,,3,2,2,2,1,3,2,3,4,1,3,10,6,10,2,8,10,1
17043,82,1,10,10,7,3,3,10,5,6,10,7,10,10,10,8,10,8,10,10,5,5
17043,83,,,1,2,4,5,9,1,5,6,2,8,5,2,6,4,5,5,4,1,10
17043,84,5,,5,3,5,2,3,2,2,7,1,7,1,2,3,1,7,3,3,7,7
17043,85,2,2,,4,3,4,7,2,8,4,4,3,2,5,4,7,4,4,6,4,9
17043,86,,,,1,1,1,1,1,1,1,1,6,,1,1,1,1,1,1,1,1
17197,87,10,10,1,5,1,3,3,2,1,5,5,7,1,5,3,2,3,3,6,,7
17197,88,1,1,,10,10,10,10,10,10,3,3,9,1,10,7,4,5,10,7,4,9
17197,89,,,,3,1,4,7,3,4,3,1,3,,3,10,1,2,5,5,2,4
17197,90,3,5,,4,2,1,2,7,3,2,6,2,1,3,5,2,4,2,3,6,2
17197,91,2,,,3,1,1,2,1,2,2,3,3,,4,1,1,1,3,2,2,6
17197,92,1,,1,4,2,2,4,6,2,8,10,5,1,2,2,3,10,4,3,1,2
17197,93,,,10,7,8,5,5,4,6,7,8,6,3,8,9,10,8,6,10,10,5
17197,94,4,,2,6,1,2,2,1,3,6,2,2,,2,4,1,2,2,2,2,4
17197,95,7,1,1,9,6,7,8,8,8,10,4,10,10,6,5,7,6,8,8,3,10
17197,96,,,,1,3,1,1,3,1,1,1,1,,1,1,1,2,1,1,1,1
17197,97,1,,1,1,1,1,,2,,,,1,,1,1,,1,,1,1,
17197,98,2,1,,2,,,1,1,2,1,1,1,,1,1,1,1,1,1,1,1
17197,99,8,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1
17197,100,1,,1,1,4,3,1,2,1,1,1,1,1,1,2,1,1,1,1,2,3
17197,101,5,,,2,1,1,1,1,2,4,2,2,,1,3,1,3,1,4,1,3
17197,102,3,,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1
17197,103,,,,,,,,,,,,1,,,1,,,1,,1,1
17197,104,,,,1,,1,,1,,,,,,1,,,,,1,1,
17197,105,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
17197,106,,,,1,,1,1,1,1,,,1,,,1,,1,,,1,
17197,107,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
17197,108,2,,,1,,,1,1,1,,,1,,1,1,1,1,1,1,1,1
17197,109,,,,1,1,1,,1,1,,,,,,,,1,1,,1,
17093,110,,,,2,4,1,3,10,6,2,1,2,,1,2,1,2,2,3,2,2
17093,111,,3,1,6,2,2,5,2,3,3,5,6,,4,5,5,10,5,10,5,5
17093,112,2,,10,10,10,10,10,4,10,10,10,10,,7,10,10,1,10,6,3,10
17093,113,10,,,1,1,,,1,,,,,,1,,,,1,,,1
17093,114,5,,,3,1,1,1,,,6,2,1,,10,3,1,1,1,1,10,3
17093,115,3,,,1,1,1,1,1,,1,,1,10,1,,,,1,1,,1
17093,116,,,,1,1,1,,1,1,1,,1,,,1,,,1,1,1,
17093,117,1,10,,1,1,,,1,,,,1,,,1,,,,1,1,
17093,118,1,,,1,1,1,1,1,,1,,1,,1,,,1,,,,7
17063,119,10,,,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10
17007,120,10,,,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10
17037,121,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
17091,122,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
17201,123,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
17141,124,10,10,,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10
17103,125,10,,,10,10,10,10,10,,10,10,,,,10,10,,10,10,10,
17099,126,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
18089,127,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
18127,128,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
18091,129,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
55059,130,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
55101,131,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
55127,132,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
