zone09,MESOZONE,BusID
1549,88,171970001158
1548,88,171970001159
1550,88,171970001160
1549,88,171970001161
1550,88,171970001162
1550,88,171970001163
1548,88,171970001164
1549,88,171970001165
698,23,17031000151
1549,88,171970001166
697,23,17031000152
1549,88,171970001167
1549,88,171970001168
1549,88,171970001169
1549,88,171970001170
1550,88,171970001171
1549,88,171970001172
1550,88,171970001173
1549,88,171970001174
1549,88,171970001175
1549,88,171970001176
1549,88,171970001177
697,23,17031000153
1550,88,171970001178
698,23,17031000154
1549,88,171970001179
1548,88,171970001180
1548,88,171970001181
1550,88,171970001182
1549,88,171970001183
694,23,17031000155
1549,88,171970001184
694,23,17031000156
1548,88,171970001185
694,23,17031000157
1550,88,171970001186
695,23,17031000158
694,23,17031000159
1549,88,171970001187
695,23,17031000160
1550,88,171970001188
1549,88,171970001189
694,23,17031000161
1550,88,171970001190
1549,88,171970001191
695,23,17031000162
694,23,17031000163
1550,88,171970001192
694,23,17031000164
1550,88,171970001193
1550,88,171970001194
694,23,17031000165
1550,88,171970001195
1693,111,1709300012
1550,88,171970001196
1549,88,171970001197
1907,129,1809100018
1549,88,171970001198
1548,88,171970001199
1550,88,171970001200
1550,88,171970001201
1550,88,171970001202
1550,88,171970001203
1550,88,171970001204
1550,88,171970001205
1549,88,171970001206
1550,88,171970001207
1548,88,171970001208
1550,88,171970001209
1550,88,171970001210
1550,88,171970001211
1550,88,171970001212
1550,88,171970001213
1550,88,171970001214
1550,88,171970001215
1550,88,171970001216
1550,88,171970001217
1550,88,171970001218
1550,88,171970001219
1550,88,171970001220
1550,88,171970001221
1550,88,171970001222
1501,86,1704300010
287,24,17031000166
1501,86,1704300011
1550,88,171970001223
1901,129,1809100019
1501,86,1704300012
1501,86,1704300013
1501,86,1704300014
1902,129,18091000110
1501,86,1704300015
1901,129,18091000111
1550,88,171970001224
1501,86,1704300016
1501,86,1704300017
1498,86,1704300018
1498,86,1704300019
1498,86,17043000110
1498,86,17043000111
1498,86,17043000112
1498,86,17043000113
1498,86,17043000114
1498,86,17043000115
672,22,17031000167
300,24,17031000168
1900,129,18091000112
672,22,17031000169
275,24,17031000170
1898,129,18091000113
672,22,17031000171
275,24,17031000172
275,24,17031000173
275,24,17031000174
1899,129,18091000114
275,24,17031000175
1268,76,1708900010
298,24,17031000176
269,24,17031000177
1268,76,1708900011
1268,76,1708900012
648,18,17031000178
1268,76,1708900013
269,24,17031000179
648,18,17031000180
1492,85,17043000116
1899,129,18091000115
648,18,17031000181
1491,85,17043000117
1265,76,1708900014
1266,76,1708900015
638,18,17031000182
1266,76,1708900016
642,18,17031000183
1263,76,1708900017
1490,85,17043000118
639,18,17031000184
642,18,17031000185
655,19,17031000186
639,18,17031000187
642,18,17031000188
1899,129,18091000116
217,19,17031000189
656,19,17031000190
656,19,17031000191
657,19,17031000192
657,19,17031000193
656,19,17031000194
642,18,17031000195
247,20,17031000196
639,18,17031000197
657,19,17031000198
657,19,17031000199
216,19,170310001100
657,19,170310001101
655,19,170310001102
656,19,170310001103
656,19,170310001104
656,19,170310001105
217,19,170310001106
657,19,170310001107
243,20,170310001108
657,19,170310001109
639,18,170310001110
216,19,170310001111
657,19,170310001112
656,19,170310001113
655,19,170310001114
655,19,170310001115
656,19,170310001116
642,18,170310001117
655,19,170310001118
656,19,170310001119
636,18,170310001120
1312,83,17043000119
