Origin,Destination,Time
5,43,1.117
5,44,0.955
5,45,0.767
5,46,1.017
5,47,0.858
5,48,0.706
5,49,0.72
5,50,0.8
5,51,0.7
5,52,0.576
5,53,0.613
5,54,0.65
5,55,0.567
5,56,0.455
5,57,0.39
5,58,0.54
5,59,0.487
5,60,0.341
5,61,0.274
5,62,1.059
5,63,0.928
5,64,0.775
5,65,1.16
5,66,1.104
5,67,0.865
5,68,1.238
5,69,1.083
5,70,1.018
5,71,1.316
5,72,1.243
5,73,1.017
5,74,1.337
5,75,1.366
5,76,1.098
5,77,0.768
5,78,0.644
5,79,0.513
5,80,0.904
5,81,0.756
5,82,0.633
5,83,0.967
5,84,0.853
5,85,0.82
5,86,0.872
5,87,1.102
5,88,0.937
5,89,1.133
5,90,1.063
5,91,1.042
5,92,1.262
5,93,1.277
5,94,1.197
5,95,1.044
5,96,1.404
5,97,1.409
5,98,1.498
5,99,1.238
5,100,1.216
5,101,1.285
5,102,1.527
5,103,1.595
5,104,1.461
5,105,1.402
5,106,1.486
5,107,1.356
5,108,1.692
5,109,1.782
5,110,1.525
5,111,1.381
5,112,1.175
5,113,1.473
5,114,1.409
5,115,1.26
5,116,1.68
5,117,1.531
5,118,1.378
5,119,1.76
5,120,1.526
5,121,1.53
5,122,1.66
5,123,1.914
5,124,1.871
5,125,1.946
5,126,2.159
5,127,1.385
5,128,1.589
5,129,1.958
5,130,0.963
5,131,1.207
5,132,1.539
6,1,0.159
6,2,0.294
6,3,0.435
6,4,0.567
6,5,0.66
6,6,0.065
6,7,0.213
6,8,0.348
6,9,0.466
6,10,0.596
6,11,0.685
6,12,0.532
6,13,0.662
6,14,0.753
6,15,0.606
6,16,0.698
6,17,0.852
6,18,0.683
6,19,0.842
6,20,0.966
6,21,0.815
6,22,0.818
6,23,0.925
6,24,1.153
6,25,0.952
6,26,1.015
6,27,1.146
6,28,1.151
6,29,1.305
6,30,1.072
6,31,0.974
6,32,0.897
6,33,0.843
6,34,1.018
6,35,0.822
6,36,0.75
6,37,0.685
6,38,0.781
6,39,0.742
6,40,0.598
6,41,0.509
6,42,0.852
6,43,0.614
6,44,0.52
6,45,0.373
6,46,0.978
6,47,1
6,48,0.996
6,49,1.086
6,50,0.66
6,51,0.824
6,52,0.842
6,53,0.989
6,54,0.511
6,55,0.693
6,56,0.676
6,57,0.773
6,58,0.335
6,59,0.393
6,60,0.527
6,61,0.66
6,62,0.557
6,63,0.426
6,64,0.272
6,65,0.658
6,66,0.601
6,67,0.363
6,68,0.602
6,69,0.447
6,70,0.382
6,71,0.68
6,72,0.607
6,73,0.381
6,74,0.755
6,75,0.73
6,76,0.524
6,77,0.132
6,78,0.267
6,79,0.446
6,80,0.288
6,81,0.38
6,82,0.502
6,83,0.409
6,84,0.609
6,85,0.718
6,86,0.751
6,87,0.544
6,88,0.728
6,89,0.68
6,90,0.866
6,91,0.919
6,92,0.811
6,93,0.906
6,94,0.998
6,95,1.086
6,96,0.963
6,97,1.037
6,98,1.126
6,99,1.279
6,100,1.327
6,101,1.465
6,102,1.086
6,103,1.239
6,104,1.373
6,105,1.407
6,106,1.585
6,107,1.51
6,108,1.251
6,109,1.344
6,110,0.948
6,111,0.803
6,112,0.617
6,113,0.916
6,114,0.851
6,115,0.786
6,116,1.132
6,117,0.983
6,118,0.915
6,119,1.318
6,120,1.05
6,121,0.894
6,122,1.651
6,123,1.438
6,124,1.322
6,125,1.364
6,126,1.611
6,127,1.625
6,128,1.882
6,129,2.252
6,130,1.105
6,131,1.349
6,132,1.309
7,1,0.214
7,2,0.143
7,3,0.284
7,4,0.415
7,5,0.509
7,6,0.213
7,7,0.062
7,8,0.188
7,9,0.313
7,10,0.444
7,11,0.533
7,12,0.373
7,13,0.502
7,14,0.593
7,15,0.51
7,16,0.602
7,17,0.707
7,18,0.586
7,19,0.746
7,20,0.826
7,21,0.717
7,22,0.722
7,23,0.828
7,24,1.013
7,25,0.855
7,26,0.918
7,27,1.05
7,28,1.054
7,29,1.208
7,30,1.119
7,31,1.021
7,32,0.944
7,33,0.814
7,34,1.065
7,35,0.869
7,36,0.796
7,37,0.732
7,38,0.862
7,39,0.789
7,40,0.645
7,41,0.555
7,42,0.933
7,43,0.695
7,44,0.575
7,45,0.42
7,46,0.936
7,47,0.879
7,48,0.876
7,49,0.966
7,50,0.618
7,51,0.705
7,52,0.721
7,53,0.869
7,54,0.469
7,55,0.572
7,56,0.555
7,57,0.653
7,58,0.335
7,59,0.306
7,60,0.407
7,61,0.54
7,62,0.637
7,63,0.506
7,64,0.353
7,65,0.738
7,66,0.682
7,67,0.443
7,68,0.779
7,69,0.625
7,70,0.56
7,71,0.857
7,72,0.784
7,73,0.559
7,74,0.933
7,75,0.908
7,76,0.702
7,77,0.31
7,78,0.173
7,79,0.309
7,80,0.466
7,81,0.4
7,82,0.404
7,83,0.587
7,84,0.54
7,85,0.62
7,86,0.663
7,87,0.722
7,88,0.666
7,89,0.857
7,90,0.804
7,91,0.832
7,92,0.989
7,93,1.01
7,94,0.98
7,95,0.989
7,96,1.137
7,97,1.141
7,98,1.23
7,99,1.183
7,100,1.231
7,101,1.368
7,102,1.26
7,103,1.41
7,104,1.406
7,105,1.361
7,106,1.501
7,107,1.414
7,108,1.425
7,109,1.514
7,110,1.125
7,111,0.981
7,112,0.795
7,113,1.093
7,114,1.029
7,115,0.964
7,116,1.31
7,117,1.161
7,118,1.092
7,119,1.492
7,120,1.13
7,121,1.072
7,122,1.605
7,123,1.518
7,124,1.449
7,125,1.542
7,126,1.788
7,127,1.529
7,128,1.742
7,129,2.112
7,130,0.984
7,131,1.228
7,132,1.355
8,1,0.349
8,2,0.278
8,3,0.196
8,4,0.308
8,5,0.402
8,6,0.348
8,7,0.188
8,8,0.059
8,9,0.167
8,10,0.305
8,11,0.394
8,12,0.227
8,13,0.356
8,14,0.448
8,15,0.408
8,16,0.485
8,17,0.561
8,18,0.484
8,19,0.631
8,20,0.68
8,21,0.609
8,22,0.62
8,23,0.726
8,24,0.867
8,25,0.753
8,26,0.816
8,27,0.948
8,28,0.952
8,29,1.106
8,30,1.254
8,31,1.155
8,32,1.079
8,33,0.923
8,34,1.199
8,35,1.004
8,36,0.931
8,37,0.842
8,38,0.996
8,39,0.923
8,40,0.779
8,41,0.69
8,42,1.067
8,43,0.83
8,44,0.71
8,45,0.554
8,46,1.03
8,47,0.876
8,48,0.819
8,49,0.909
8,50,0.727
