stop_zone,x_coord,y_coord
497,125.759,352.751
498,125.296,353.11
499,125.262,353.718
500,126.21,353.264
501,126.632,353.239
502,127.723,353.267
503,125.761,352.254
504,127.25,351.766
505,126.621,352.225
506,126.606,352.73
507,127.247,352.286
508,128.241,352.777
509,127.79,352.261
510,127.274,352.75
511,126.252,351.716
512,126.284,350.751
513,125.298,351.408
514,125.312,351.051
515,126.312,351.118
516,127.791,351.751
517,126.289,350.233
518,127.231,350.73
519,127.31,349.772
520,126.749,350.26
521,126.349,349.791
522,127.35,350.262
523,128.249,354.835
524,129.175,355.351
525,129.191,354.852
526,128.227,355.342
527,129.675,355.338
528,130.445,355.339
529,130.944,355.358
530,130.222,355.535
531,130.883,355.853
532,131.673,355.424
533,131.239,354.91
534,131.728,354.927
535,132.178,355.737
536,132.358,355.454
537,132.748,354.953
538,132.696,355.231
539,128.737,354.342
540,129.205,354.307
541,128.713,353.835
542,128.692,354.799
543,129.69,354.825
544,130.19,354.841
545,129.705,354.322
546,129.757,353.861
547,130.256,354.35
548,131.463,354.413
549,131.514,353.918
550,132.212,354.38
551,131.755,354.423
552,132.772,353.944
553,132.369,354.897
554,132.72,354.409
555,132.958,354.907
556,133.273,354.469
557,133.393,354.217
558,128.253,353.791
559,129.232,353.342
560,128.783,352.828
561,128.263,353.277
562,129.725,353.33
563,130.66,353.366
564,131.741,353.26
565,132.248,353.888
566,132.246,353.305
567,131.281,353.403
568,133.159,353.695
569,132.79,353.319
570,132.279,353.644
571,132.762,352.946
572,133.297,353.322
573,133.434,353.826
574,128.75,352.311
575,129.808,352.324
576,130.657,351.883
577,131.054,351.896
578,130.3,352.608
579,131,352.647
580,132.072,352.145
581,131.321,352.128
582,131.773,352.416
583,132.256,352.889
584,133.287,351.951
585,133.26,352.912
586,132.762,352.554
587,133.327,352.283
588,134.339,351.979
589,133.818,352.466
590,133.317,352.627
591,134.283,352.434
592,128.812,351.404
593,129.317,351.799
594,129.829,351.467
595,129.56,351.167
596,130.288,351.199
597,130.948,351.375
598,131.836,351.398
599,132.98,351.279
600,132.342,351.259
601,133.3,351.445
602,132.553,351.69
603,133.857,351.299
604,133.794,351.926
605,133.818,350.953
606,133.847,351.457
607,129.307,350.315
608,129.829,350.351
609,130.849,350.835
610,130.357,350.358
611,130.63,350.194
612,131.258,350.344
613,131.375,349.929
614,131.848,350.864
615,131.865,350.366
616,131.356,350.784
617,132.359,350.372
618,133.314,350.904
619,133.329,350.399
620,132.347,350.878
621,133.865,350.47
622,135.03,350.997
623,134.651,351.489
624,134.361,351.311
625,135.112,349.992
626,135.051,350.493
627,134.4,349.966
628,134.366,350.929
629,135.654,350.463
630,126.856,347.752
631,126.928,346.748
632,128.392,347.253
633,126.402,346.197
634,126.956,346.234
635,127.931,346.722
636,129.33,349.785
637,128.39,349.057
638,129.057,348.815
639,128.385,349.294
640,129.838,349.305
641,131.128,348.876
642,130.371,349.815
643,131.294,349.383
644,130.683,348.86
645,131.861,349.849
646,133.349,349.171
647,133.341,349.897
648,132.852,349.155
649,132.383,349.876
650,133.895,349.2
651,129.032,348.28
652,129.966,348.288
653,131.116,348.46
654,132.269,347.896
655,131.89,347.879
656,131.579,348.391
657,131.905,348.847
658,132.531,347.91
659,133.265,347.93
660,132.901,348.874
661,132.469,348.862
662,133.911,348.906
663,134.079,348.294
664,134.693,347.585
665,133.642,347.931
666,133.412,348.904
667,128.985,347.762
668,129.336,346.811
669,128.421,347.746
670,128.454,346.785
671,129.951,347.305
672,131.149,347.332
673,131.59,347.827
674,131.558,347.32
675,132.198,347.392
676,132.142,346.881
677,133.461,344.861
678,132.78,346.976
679,133.467,347.824
680,128.843,346.299
681,129.98,346.315
682,131.18,346.346
683,131.937,346.332
684,132.744,344.58
685,134.71,346.531
686,129.501,345.311
687,130.464,345.789
688,130.523,345.306
689,130.486,344.73
690,134.487,344.583
691,131.797,343.683
692,132.749,343.553
693,132.487,344.515
694,131.777,344.513
695,132.844,344.186
696,134.731,344.515
697,135.109,349.486
698,134.976,349.186
699,134.685,349.683
700,135.177,348.331
701,135.548,349.498
702,135.895,348.947
703,136.408,347.705
704,135.95,348.346
705,135.953,347.6
706,136.27,348.356
707,135.72,346.858
708,136.51,346.85
709,134.763,345.595
710,135.763,346.335
711,134.806,345.044
712,135.818,345.053
713,135.033,344.301
714,135.402,344.092
715,135.208,344.045
716,135.422,343.891
717,135.797,344.071
718,100.309,377.532
719,102.815,377.542
720,104.854,377.889
721,99.926,375.369
722,102.55,375.541
723,105.561,375.54
724,100.368,373.491
725,102.583,372.888
726,104.603,373.516
727,99.65,371.835
728,100.417,372.102
729,104.191,372.239
730,98.96,369.519
731,98.333,370.427
732,99.609,370.546
733,99.675,369.982
734,101.481,370.058
735,103.771,370.071
736,99.142,367.502
737,101.408,368.389
738,102.804,368.729
739,104.105,369.012
740,103.944,368.46
741,103.529,368.544
742,103.636,369.06
743,102.864,367.562
744,104.16,367.632
745,103.518,367.467
746,103.768,367.62
747,104.308,367.178
748,106.801,377.295
749,108.581,377.377
750,110.076,377.57
751,109.838,378.518
752,110.197,378.187
753,110.113,377.929
754,110.669,378.524
755,111.199,378.518
756,111.379,377.566
757,111.077,377.563
758,110.102,377.065
759,111.119,377.194
760,110.714,377.513
761,111.493,376.936
762,111.036,376.729
763,105.931,375.541
764,108.56,376.186
765,109.07,375.574
766,109.347,375.571
767,109.352,376.361
768,108.609,376.53
769,110.024,376.09
770,110.865,375.91
771,107.845,375.523
772,109.556,375.146
773,110.169,375.233
774,110.837,375.514
775,111.569,374.548
776,111.577,375.057
777,110.615,374.998
778,107.072,373.784
779,107.852,373.813
780,109.57,374.52
781,108.613,374.526
782,108.636,373.906
783,109.58,373.894
784,110.109,374.073
785,111.572,374.056
786,107.862,373.366
787,109.103,373.272
788,109.117,372.863
789,108.706,372.993
790,108.661,373.241
791,109.606,372.668
792,110.978,373.276
793,105.507,372.241
794,104.874,371.826
795,105.664,371.592
796,104.426,371.153
797,106.761,372.154
798,107.724,372.154
799,108.791,372.121
800,109.546,372.418
801,110.129,372.32
802,106.71,371.371
803,107.742,371.361
804,108.752,371.773
805,109.551,371.823
806,104.44,370.632
807,105.626,370.734
808,107.227,370.773
809,107.224,371.173
810,106.596,370.732
811,106.711,371.251
812,107.723,370.896
813,108.727,370.73
814,109.231,371.378
815,108.747,370.907
816,109.247,370.68
817,109.543,370.926
818,104.435,369.611
819,105.749,369.689
820,106.714,369.78
821,107.728,369.786
822,108.722,369.877
823,110.201,369.688
824,109.491,369.929
825,109.504,369.627
826,110.157,370.39
827,104.433,368.307
828,105.719,368.214
829,106.634,368.261
830,107.755,368.314
831,107.712,368.487
832,107.753,369.222
833,107.713,369.041
834,109.473,368.377
835,104.434,367.61
836,105.683,367.755
837,106.655,367.805
838,107.713,367.804
839,111.709,377.563
840,112.564,377.56
841,112.572,378.524
842,111.838,378.516
843,112.852,377.563
844,114.299,377.559
845,114.423,378.274
846,113.851,378.377
847,113.94,377.562
848,115.464,378.489
849,115.352,377.592
850,114.722,378.497
851,115.056,377.884
852,116.536,377.62
853,115.937,378.155
854,115.633,377.594
855,116.207,378.462
856,117.103,377.623
857,112.038,377.514
858,112.846,377.127
859,114.55,376.546
860,113.817,377.195
861,114.55,377.514
862,113.831,376.737
863,115.08,376.557
864,116.447,376.557
865,117.105,376.547
866,112.166,376.287
867,112.855,375.738
868,113.602,376.518
869,115.089,375.558
870,115.596,376.509
871,117.447,375.544
872,112.102,375.015
873,112.865,375.047
874,113.619,375.055
875,115.075,375.003
876,116.55,375.033
877,116.586,374.545
878,116.597,375.488
879,117.537,375.038
880,117.431,374.546
881,112.391,374.511
882,112.4,373.908
883,112.044,374.148
884,111.612,373.65
885,112.854,374.512
886,112.819,373.681
887,113.337,374.508
888,113.318,373.555
889,113.861,374.051
890,115.556,374.513
891,115.064,374.511
892,115.109,374.011
893,115.065,373.583
894,115.609,374
895,116.606,374.007
896,112.365,373.281
897,112.321,372.698
898,111.63,372.996
899,111.611,373.138
900,113.531,373.241
901,114.111,373.013
902,115.064,373.014
903,115.604,373.507
904,116.606,373.301
905,110.535,372.194
906,110.879,372.14
907,110.993,371.488
908,111.62,372.513
909,111.678,371.84
910,112.828,371.969
911,113.391,372.039
912,114.755,372.506
913,114.928,372.017
914,115.828,372.504
915,115.116,372.365
916,115.866,371.861
917,111.666,371.475
918,112.699,371.013
919,113.413,371.425
920,113.135,371.464
921,113.13,370.804
922,113.854,370.52
923,114.883,370.554
924,113.921,371.273
925,114.574,371.23
926,114.374,370.536
927,115.394,371.224
928,112.621,370.228
929,113.717,370.47
930,113.184,369.811
931,112.985,370.265
932,113.714,369.516
933,114.009,369.515
934,114.896,370
935,113.923,370.41
936,114.43,370.162
937,114.935,369.54
938,115.393,370.058
939,115.905,369.556
940,115.429,370.51
941,110.262,368.428
942,111.67,368.735
943,111.639,368.178
944,110.278,367.664
945,112.384,369.116
946,113.431,368.826
947,114.449,368.643
948,115.922,368.814
949,115.905,369.293
950,114.953,368.809
951,114.942,369.386
952,112.396,368.362
953,113.393,367.491
954,114.464,368.074
955,117.904,377.945
956,119.101,377.551
957,119.633,378.041
958,121.211,378.485
959,122.192,378.495
960,123.383,377.544
961,118.027,376.795
962,119.108,376.8
963,120.598,376.784
964,121.006,377.14
965,121.77,377.504
966,122.661,377.274
967,118.123,376.056
968,119.117,376.04
969,119.624,376.02
970,120.627,376.016
971,121.745,376.036
972,123.174,375.989
973,118.546,375.337
974,119.095,375.243
975,119.618,375.264
976,120.924,375.094
977,122.184,375.241
978,123.346,375.254
979,118.375,374.19
980,119.104,374.043
981,119.231,373.01
982,119.603,374.003
983,120.515,374.199
984,119.618,374.28
985,120.101,373.994
986,120.842,374.363
987,121.408,374.273
988,121.5,373.993
989,120.984,373.963
990,121.841,374.045
991,121.828,373.542
992,122.574,373.528
993,122.22,374.043
994,123.1,374.479
995,120.115,373.005
996,121.121,373.049
997,121.831,372.543
998,122.206,373.485
999,122.189,372.987
1000,121.84,373.044
1001,123.069,372.778
1002,116.439,372.141
1003,117.112,371.714
1004,118.165,372.493
1005,119.602,372.494
1006,120.797,372.5
1007,121.364,372.146
1008,116.372,371.421
1009,116.907,371.294
1010,117.699,371.252
1011,117.604,370.842
1012,117.039,370.637
1013,118.162,370.971
1014,119.459,371.695
1015,119.064,370.93
1016,119.539,370.95
1017,119.045,371.665
1018,120.035,370.967
1019,120.595,370.991
1020,120.798,371.752
1021,120.062,371.718
1022,121.791,371.208
1023,116.506,370.074
1024,117.305,370.104
1025,117.262,370.239
1026,117.264,369.632
1027,117.459,370.498
1028,118.287,370.183
1029,119.349,369.861
1030,119.063,370.06
1031,119.599,370.698
1032,119.044,370.661
1033,120.058,369.763
1034,121.761,369.324
1035,121.421,369.812
1036,121.113,369.748
1037,116.527,369.551
1038,117.273,369.494
1039,117.711,368.647
1040,117.207,368.626
1041,117.569,369.278
1042,118.047,369.12
1043,118.34,369.183
1044,118.047,369.62
1045,118.497,368.775
