Industry_NAICS6_CBP,FAFZONE,CBPZONE,employment,establishment,e1,e2,e3,e4,e5,e6,e7,e8
711219,393,83,144,20,3,0,0,0,0,0,0,0
711219,394,84,15,7,3,0,0,0,0,0,0,0
711219,401,86,31,13,7,0,0,0,0,0,0,0
711219,402,87,10,6,4,0,0,0,0,0,0,0
711219,411,89,20,22,20,0,0,0,0,0,0,0
711219,419,90,2,4,4,0,0,0,0,0,0,0
711219,421,91,222,51,40,0,0,0,0,0,0,0
711219,422,92,238,27,18,0,0,0,0,0,0,0
711219,429,93,28,10,8,0,0,0,0,0,0,0
711219,440,94,16,5,3,0,0,0,0,0,0,0
711219,451,95,3,3,3,0,0,0,0,0,0,0
711219,452,96,19,13,10,0,0,0,0,0,0,0
711219,459,97,74,27,19,0,0,0,0,0,0,0
711219,471,99,7,5,4,0,0,0,0,0,0,0
711219,472,100,27,5,0,0,0,0,0,0,0,0
711219,479,101,24,3,0,0,0,0,0,0,0,0
711219,481,102,17,11,9,0,0,0,0,0,0,0
711219,484,105,119,52,42,0,0,0,0,0,0,0
711219,485,106,20,7,4,0,0,0,0,0,0,0
711219,486,107,98,37,28,0,0,0,0,0,0,0
711219,488,109,29,10,7,0,0,0,0,0,0,0
711219,489,110,29,5,3,0,0,0,0,0,0,0
711219,491,111,22,13,9,0,0,0,0,0,0,0
711219,499,112,25,22,20,0,0,0,0,0,0,0
711219,511,114,3,4,3,0,0,0,0,0,0,0
711219,512,115,14,5,4,0,0,0,0,0,0,0
711219,513,116,247,26,16,0,0,0,0,0,0,0
711219,531,118,160,29,20,4,0,0,0,0,0,0
711219,539,119,15,9,7,0,0,0,0,0,0,0
711219,540,120,90,14,6,0,0,0,0,0,0,0
711219,551,121,15,6,5,0,0,0,0,0,0,0
711219,560,123,11,7,5,0,0,0,0,0,0,0
711310,11,1,539,15,7,0,0,0,0,0,0,0
711310,12,2,265,5,0,0,0,0,0,0,0,0
711310,20,4,21,5,0,0,0,0,0,0,0,0
711310,41,5,1905,35,20,9,0,0,0,0,0,0
711310,42,6,85,7,3,0,0,0,0,0,0,0
711310,49,7,31,6,3,0,0,0,0,0,0,0
711310,50,8,1028,20,3,0,0,0,0,0,0,0
711310,61,9,9019,334,269,34,3,4,3,0,0,0
711310,62,10,654,14,9,0,0,0,0,0,0,0
711310,63,11,511,44,39,0,0,0,0,0,0,0
711310,64,12,4072,133,89,11,0,0,0,0,0,0
711310,69,13,1953,44,14,3,0,0,0,0,0,0
711310,81,14,3498,55,28,0,0,0,3,0,0,0
711310,89,15,493,33,17,0,0,0,0,0,0,0
711310,91,16,389,10,4,0,0,0,0,0,0,0
711310,92,17,606,33,19,0,0,0,0,0,0,0
711310,100,19,1336,11,4,0,0,0,0,0,0,0
711310,111,20,1072,18,9,3,3,0,0,0,0,0
711310,121,21,768,14,8,0,0,0,0,0,0,0
711310,122,22,3862,109,87,0,3,0,0,0,0,0
711310,123,23,6055,70,48,0,0,0,0,0,0,0
711310,124,24,2395,34,24,0,0,0,0,0,0,0
711310,129,25,1737,58,23,4,0,0,0,0,0,0
711310,131,26,2739,90,49,10,0,0,0,0,0,0
711310,132,27,99,5,0,0,0,0,0,0,0,0
711310,139,28,25,5,0,0,0,0,0,0,0,0
711310,160,31,598,23,4,0,0,0,0,0,0,0
711310,171,17031,2613,88,64,11,0,0,0,0,0,0
711310,171,17037,19,3,0,0,0,0,0,0,0,0
711310,171,17089,13,4,3,0,0,0,0,0,0,0
711310,171,17097,194,4,0,0,0,0,0,0,0,0
711310,171,17111,22,3,0,0,0,0,0,0,0,0
711310,171,17197,140,8,4,0,0,0,0,0,0,0
711310,179,34,80,7,0,0,0,0,0,0,0,0
711310,181,18089,30,4,0,0,0,0,0,0,0,0
711310,182,36,338,17,6,0,0,0,0,0,0,0
711310,189,37,515,20,3,0,0,0,0,0,0,0
711310,190,38,872,26,8,0,0,0,0,0,0,0
711310,201,39,48,9,4,0,0,0,0,0,0,0
711310,209,40,232,12,0,0,0,0,0,0,0,0
711310,211,41,385,17,8,0,0,0,0,0,0,0
711310,219,42,17,6,3,0,0,0,0,0,0,0
711310,221,43,354,9,4,0,0,0,0,0,0,0
711310,223,45,4081,25,11,0,0,0,0,0,0,0
711310,229,46,263,6,3,0,0,0,0,0,0,0
711310,230,47,88,27,19,0,0,0,0,0,0,0
711310,241,48,690,25,7,0,0,0,0,0,0,0
711310,242,49,409,22,12,0,0,0,0,0,0,0
711310,251,51,3401,116,73,12,0,0,0,0,0,0
711310,259,52,377,31,18,3,0,0,0,0,0,0
711310,261,53,876,62,32,0,0,0,0,0,0,0
711310,262,54,615,18,6,0,0,0,0,0,0,0
711310,269,55,379,17,3,0,0,0,0,0,0,0
711310,271,56,4240,88,40,15,0,3,0,0,0,0
711310,279,57,93,23,5,0,0,0,0,0,0,0
711310,291,59,906,17,8,0,0,0,0,0,0,0
711310,292,60,1833,39,20,0,0,0,0,0,0,0
711310,299,61,162,18,9,0,0,0,0,0,0,0
711310,300,62,79,10,3,0,0,0,0,0,0,0
711310,310,63,963,38,9,0,3,0,0,0,0,0
711310,321,64,1913,42,30,0,5,0,0,0,0,0
711310,329,65,40,5,0,0,0,0,0,0,0,0
711310,330,66,516,25,13,0,0,0,0,0,0,0
711310,341,67,3827,71,30,0,0,0,0,0,0,0
711310,342,68,20,5,4,0,0,0,0,0,0,0
711310,350,70,777,10,3,0,0,0,0,0,0,0
711310,361,71,1163,19,7,0,0,0,0,0,0,0
711310,362,72,448,19,11,0,0,0,0,0,0,0
711310,363,73,15305,259,170,43,4,0,4,0,0,0
711310,364,74,226,9,4,0,0,0,0,0,0,0
711310,369,75,556,25,10,0,0,0,0,0,0,0
711310,371,76,759,22,12,0,4,0,0,0,0,0
711310,372,77,94,12,6,0,0,0,0,0,0,0
711310,373,78,1845,31,15,0,0,0,0,0,0,0
711310,379,79,220,25,9,0,0,0,0,0,0,0
711310,380,80,207,7,0,0,0,0,0,0,0,0
711310,391,81,1378,26,8,3,0,0,0,0,0,0
711310,392,82,761,41,26,0,0,0,0,0,0,0
711310,393,83,823,27,12,3,0,0,0,0,0,0
711310,394,84,152,6,4,0,0,0,0,0,0,0
711310,399,85,445,28,9,0,0,0,0,0,0,0
711310,401,86,450,16,6,0,0,0,0,0,0,0
711310,402,87,112,13,6,0,0,0,0,0,0,0
711310,409,88,3,4,3,0,0,0,0,0,0,0
711310,411,89,1328,28,10,5,0,0,0,0,0,0
711310,419,90,232,25,12,0,0,0,0,0,0,0
711310,421,91,16951,74,35,6,0,0,0,0,0,0
711310,422,92,1508,52,29,9,0,0,0,0,0,0
711310,429,93,610,31,12,3,0,0,0,0,0,0
711310,440,94,1483,15,4,0,0,0,0,0,0,0
711310,451,95,1279,16,8,3,0,0,0,0,0,0
711310,452,96,299,3,0,0,0,0,0,0,0,0
711310,459,97,392,29,16,3,0,0,0,0,0,0
711310,460,98,1028,9,3,0,0,0,0,0,0,0
711310,471,99,193,12,7,0,0,0,0,0,0,0
711310,472,100,1854,39,21,0,0,4,0,0,0,0
711310,479,101,219,17,4,0,0,0,0,0,0,0
711310,481,102,521,40,23,0,0,0,0,0,0,0
711310,484,105,1464,86,61,0,0,0,0,0,0,0
711310,485,106,494,8,4,0,0,0,0,0,0,0
711310,486,107,2845,62,35,6,0,0,0,0,0,0
711310,487,108,34,3,0,0,0,0,0,0,0,0
711310,488,109,3252,21,9,0,0,0,0,0,0,0
711310,489,110,178,18,0,0,0,0,0,0,0,0
711310,491,111,1219,27,13,0,0,0,0,0,0,0
711310,499,112,271,12,4,0,0,0,0,0,0,0
711310,500,113,332,22,4,0,0,0,0,0,0,0
711310,511,114,69,11,3,0,0,0,0,0,0,0
711310,513,116,778,17,3,0,0,0,0,0,0,0
711310,519,117,64,4,0,0,0,0,0,0,0,0
711310,531,118,2481,53,31,7,0,0,0,0,0,0
711310,539,119,236,11,0,0,0,0,0,0,0,0
711310,540,120,70,5,0,0,0,0,0,0,0,0
711310,551,121,832,22,9,0,3,0,0,0,0,0
711310,559,122,1233,26,9,0,0,0,0,0,0,0
711310,560,123,66,4,0,0,0,0,0,0,0,0
711320,11,1,304,25,14,0,0,0,0,0,0,0
711320,12,2,49,11,3,0,0,0,0,0,0,0
711320,19,3,38,8,0,0,0,0,0,0,0,0
711320,20,4,19,6,4,0,0,0,0,0,0,0
711320,41,5,1156,71,56,6,3,0,0,0,0,0
711320,42,6,19,9,7,0,0,0,0,0,0,0
711320,49,7,19,8,6,0,0,0,0,0,0,0
711320,50,8,58,14,6,0,0,0,0,0,0,0
711320,61,9,2587,447,411,22,0,0,0,0,0,0
711320,62,10,101,30,28,0,0,0,0,0,0,0
711320,63,11,640,57,50,3,0,0,0,0,0,0
711320,64,12,962,144,115,0,0,0,0,0,0,0
711320,69,13,149,39,27,0,0,0,0,0,0,0
711320,81,14,1011,99,79,0,0,0,0,0,0,0
711320,89,15,484,56,34,0,0,0,0,0,0,0
711320,91,16,52,7,0,0,0,0,0,0,0,0
711320,92,17,1144,25,17,0,0,0,0,0,0,0
711320,100,19,116,15,11,0,0,0,0,0,0,0
711320,111,20,206,24,20,0,0,0,0,0,0,0
711320,121,21,270,21,13,3,0,0,0,0,0,0
711320,122,22,678,193,176,0,0,0,0,0,0,0
711320,123,23,628,85,76,0,0,0,0,0,0,0
711320,124,24,691,53,47,0,0,0,0,0,0,0
711320,129,25,233,85,61,0,0,0,0,0,0,0
711320,131,26,538,103,75,4,0,0,0,0,0,0
711320,139,28,56,7,5,0,0,0,0,0,0,0
711320,151,29,14,9,8,0,0,0,0,0,0,0
711320,159,30,38,5,4,0,0,0,0,0,0,0
711320,160,31,141,23,13,0,0,0,0,0,0,0
711320,171,17031,614,88,69,9,0,0,0,0,0,0
711320,171,17043,27,11,10,0,0,0,0,0,0,0
711320,171,17089,168,8,0,0,0,0,0,0,0,0
711320,171,17093,4,3,3,0,0,0,0,0,0,0
