SCTG,SCTG_GROUP,Trade_Type,Tonnage,Proportion
21,20-24,Domestic,18688968.1970005,0.779573420781109
21,20-24,Import,3621564.97,0.151066434619813
21,20-24,Export,1662793.397,0.0693601445990784
22,20-24,Domestic,163826869.682,0.783563610041809
22,20-24,Import,31321711.731,0.149807864633379
22,20-24,Export,13930640.213,0.0666285253248122
23,20-24,Domestic,125529775.416996,0.85612895790343
23,20-24,Import,7157569.998,0.0488155333916015
23,20-24,Export,13937499.193,0.0950555087049684
24,20-24,Domestic,227653952.103003,0.807242417591374
24,20-24,Import,26222703.7389999,0.0929835769004138
24,20-24,Export,28137702.1029996,0.0997740055082122
25,25-30,Domestic,470530103.958,0.976886863609773
25,25-30,Import,1018919.537,0.00211542067637717
25,25-30,Export,10113819.446,0.0209977157138502
26,25-30,Domestic,363989433.032007,0.893465209355255
26,25-30,Import,28358082.5589999,0.0696090541954346
26,25-30,Export,15043202.28,0.0369257364493101
27,25-30,Domestic,130318132.582999,0.765583396117203
27,25-30,Import,16089862.551,0.0945235430457711
27,25-30,Export,23812693.0939998,0.139893060837026
28,25-30,Domestic,81335646.2649978,0.938876733554456
28,25-30,Import,2603216.325,0.0300495459517045
28,25-30,Export,2691941.38899999,0.0310737204938397
29,25-30,Domestic,29348193.0330021,0.9327727456751
29,25-30,Import,1252379.608,0.0398043438063815
29,25-30,Export,862817.738999999,0.0274229105185181
30,25-30,Domestic,40962387.5149988,0.642950442360317
30,25-30,Import,17041302.503,0.267482284295268
30,25-30,Export,5706333.05100002,0.0895672733444153
31,31-34,Domestic,1226750928.25897,0.961937025894524
31,31-34,Import,33820359.3740002,0.0265196912930658
31,31-34,Export,14721060.24,0.01154328281241
32,31-34,Domestic,320455002.112009,0.845457299468463
32,31-34,Import,44971229.3180001,0.118647716036224
32,31-34,Export,13605332.0960001,0.0358949844953123
33,31-34,Domestic,128877865.894994,0.797847334876997
33,31-34,Import,23312980.3779999,0.14432423390516
33,31-34,Export,9341141.44100009,0.0578284312178425
34,31-34,Domestic,93885607.4809949,0.705872507661716
34,31-34,Import,29306994.7899999,0.220342632481061
34,31-34,Export,9813863.43200002,0.0737848598572231
35,35-38,Domestic,59741929.9619979,0.719268495436947
35,35-38,Import,16875486.863,0.203173986067022
35,35-38,Export,6441872.35699998,0.0775575184960309
36,35-38,Domestic,159192237.097001,0.770766032873324
36,35-38,Import,33804752.5829998,0.163673527778785
36,35-38,Export,13540701.7950001,0.0655604393478903
37,35-38,Domestic,5956227.54099992,0.65009219053646
37,35-38,Import,1081075.33299999,0.11799391922608
37,35-38,Export,2124824.63299999,0.23191389023746
38,35-38,Domestic,7777870.41399988,0.718145576786787
38,35-38,Import,1920957.211,0.17736563491637
38,35-38,Export,1131665.057,0.104488788296843
39,39-43,Domestic,52115753.3559988,0.749893381091652
39,39-43,Import,15645563.2900001,0.225123951955137
39,39-43,Export,1736234.16600001,0.0249826669532107
40,39-43,Domestic,98252927.8159966,0.91129836145312
40,39-43,Import,7285315.43700008,0.0675714827841128
40,39-43,Export,2278177.76999998,0.0211301557627669
41,39-43,Domestic,642277740.479,0.912961898293659
41,39-43,Import,12734205.408,0.0181009610170807
41,39-43,Export,48497961.4589998,0.0689371406892605
43,39-43,Domestic,424023682.902016,0.954500440729352
43,39-43,Import,8045194.45399999,0.018110171581786
43,39-43,Export,12167358.4890001,0.0273893876888624
