Industry_NAICS6_Make,Industry_NAICS6_Use,ProVal
541200,111300,72.2114603242275
561700,111300,47.3556419491151
562000,111300,14.5986250448769
711100,111300,1.85197627747372
711200,111300,3.17755800402733
713900,111300,0.892332234703465
722110,111300,16.0368090793244
722211,111300,5.31877014538031
722A00,111300,0.940593209858381
811100,111300,3.31097575440825
811200,111300,4.53202246047879
811300,111300,1.12088334297417
813B00,111300,2.24661956897524
111400,111400,3150.40057328292
1121A0,111400,20.7265607927981
112A00,111400,9.26591257610289
115000,111400,1134.59664035093
212310,111400,10.8488111661336
221100,111400,67.0855264515747
221200,111400,140.315150195786
221300,111400,75.8740287847073
230301,111400,177.247004014307
3219A0,111400,1.0463184557881
331200,111400,1.80937843507688
332200,111400,39.616259443634
332310,111400,10.3383369176305
332710,111400,1.91739227037846
332999,111400,1.9118452602424
333111,111400,107.465274100179
335312,111400,0.973772872074375
335911,111400,103.325873012478
336310,111400,1.64375797400202
336320,111400,19.2731581475755
336360,111400,2.71455278592182
336390,111400,16.758873638016
339990,111400,0.879676217067619
322291,111400,0.894735340582155
323110,111400,0.852243698169131
324110,111400,901.656259209344
325180,111400,14.1797985299708
325310,111400,696.584664706495
325320,111400,591.441281470657
3259A0,111400,3.30403661811568
326110,111400,23.8580221015939
326190,111400,375.173987116343
326210,111400,70.5242505925519
326220,111400,3.46524126398699
423800,111400,1.1357068540905
424A00,111400,8.41000600936584
425000,111400,1.25523114032235
493000,111400,52.3153435450723
511200,111400,4.05297344154077
517110,111400,27.7298593857164
517210,111400,9.19030338248127
517A00,111400,4.8206692317017
522A00,111400,1.90522282292074
52A000,111400,169.397248765948
523900,111400,1.15208351519933
5241XX,111400,289.080870840757
524200,111400,28.6695098203081
531ORE,111400,89.3712659593181
532100,111400,2.64128238993198
532400,111400,83.2918756032223
533000,111400,4.51515164298569
541100,111400,5.36692815810314
541512,111400,20.7618559997852
54151A,111400,11.5755814628294
541200,111400,53.3202060814999
561700,111400,32.9573299195801
562000,111400,14.7319503896748
711100,111400,1.86888988235039
711200,111400,3.206577792891
713900,111400,0.900481666756167
722110,111400,19.7795509693506
722211,111400,3.57823003536092
722A00,111400,1.89836679302362
811200,111400,4.57341221159012
811300,111400,9.04896057021652
813B00,111400,2.26713734566603
1111A0,111900,3.55630640879967
1111B0,111900,625.45437025167
111900,111900,961.820987648952
1121A0,111900,27.2171809745177
112300,111900,4.62310047928028
112A00,111900,54.4603953044128
115000,111900,2940.74267245751
212310,111900,48.9937162947596
2123A0,111900,157.833292643556
221100,111900,349.296484967321
221200,111900,98.2453960300171
221300,111900,771.803469177342
230301,111900,284.792004911793
321910,111900,26.2084383650347
3219A0,111900,21.8888910681062
327330,111900,25.4864264171085
331200,111900,10.2140423914308
332200,111900,40.4518056464598
332310,111900,12.0153949393579
332710,111900,3.82015995125554
332999,111900,2.85683117990802
333111,111900,270.506149808003
33329A,111900,11.0150396354276
33399A,111900,0.798423131283493
334111,111900,64.5159786533564
335911,111900,260.614614636637
336310,111900,3.27497845842469
336320,111900,47.5817580305686
336360,111900,7.21120103142365
336390,111900,42.5721502499418
339990,111900,6.13424997717152
314900,111900,21.3620509520552
322210,111900,20.4905514434837
322291,111900,0.891323118349244
323110,111900,0.848993524891233
324110,111900,1293.50230070636
325180,111900,31.5751421915263
325190,111900,570.930073169418
325310,111900,940.874483202041
325320,111900,2424.1055053129
325520,111900,14.4326673057654
325610,111900,144.931401082223
3259A0,111900,8.22859031052364
326110,111900,5.40159899112069
326120,111900,16.073919059237
326190,111900,32.728924174164
326210,111900,167.95406369525
326220,111900,5.75337664886049
424A00,111900,10.0535196609892
425000,111900,10.0035528585536
484000,111900,9.72750837143792
493000,111900,172.521369168751
511200,111900,4.03751675232848
517110,111900,38.8052930946649
517210,111900,5.49315277797278
517A00,111900,20.4097104286431
522A00,111900,50.2958588671933
52A000,111900,258.690063388513
523900,111900,1.14768985284307
523A00,111900,16.4013714579828
5241XX,111900,990.956019787913
524200,111900,248.116510494861
531ORE,111900,581.198674271638
532100,111900,76.3050731699019
532400,111900,159.033937314255
533000,111900,5.99724314697308
541100,111900,26.7323024187487
541512,111900,26.0781582139855
54151A,111900,14.1925366831911
541200,111900,78.7900098833536
541300,111900,2.66678524155443
541800,111900,0.931143822965829
5419A0,111900,22.9462913745327
561300,111900,0.846602782935718
561700,111900,41.8603431077413
561500,111900,3.70091156206142
561900,111900,1.66095287416781
562000,111900,23.0619205824317
711100,111900,0.93088127976708
711200,111900,2.12956598296388
713900,111900,0.897047529951382
722110,111900,22.3910435881704
722211,111900,2.67343789439485
811100,111900,8.87592462900052
811200,111900,13.667912227359
811300,111900,1.12680635650551
813B00,111900,3.76415206637209
1111B0,112120,2157.20194331396
111900,112120,400.175958509807
1121A0,112120,2682.08389621767
112A00,112120,285.315370304241
115000,112120,933.499849334286
212310,112120,26.0043499032646
2123A0,112120,2.28227811834707
221100,112120,841.945178203556
221200,112120,52.482603228962
221300,112120,51.2961858609067
230301,112120,98.043917675765
321100,112120,3.49428923773408
3219A0,112120,9.64615839464733
331200,112120,8.89648889542049
332119,112120,3.67405067490208
332200,112120,186.266239361648
332310,112120,53.2150826694046
332710,112120,10.6060269370736
332999,112120,14.9817369546385
333111,112120,502.445506919742
333920,112120,1.40823860699407
33399A,112120,2.95558208578579
33451A,112120,3.17683542140401
335110,112120,0.938365603775257
335312,112120,9.87508539462924
335911,112120,576.612428824064
336310,112120,6.81931716045793
336320,112120,167.63908666999
336360,112120,12.5129237655997
336390,112120,91.1564368887932
339990,112120,34.0614117349938
311119,112120,7832.39164079618
311210,112120,419.506800653919
311221,112120,0.817094968700329
311224,112120,480.721735379458
311300,112120,155.434800947711
312120,112120,58.9952812188348
312140,112120,742.440713455028
314900,112120,1.58154974814024
322291,112120,0.824869213459816
323110,112120,4.71417339027288
324110,112120,1301.46766143879
325180,112120,3.07589590165365
325412,112120,3.30409459513464
325414,112120,14.3508750266255
325310,112120,518.503938672901
325320,112120,1065.93132178641
325610,112120,38.0851115116607
3259A0,112120,19.7992487367858
326210,112120,355.563402507713
326220,112120,36.2060913478112
424400,112120,232.455495908854
424A00,112120,0.775330394083271
425000,112120,1158.37262477756
484000,112120,13.0032639969766
493000,112120,29.9360221818595
511120,112120,5.7498673313673
511200,112120,2.9891950061765
517110,112120,69.9981755255544
517210,112120,48.5766480261714
517A00,112120,13.3327302180212
522A00,112120,7.02580787916923
52A000,112120,264.287233099138
523900,112120,1.06212214933208
523A00,112120,3.0357086214177
5241XX,112120,281.762411919368
524200,112120,37.9943154481086
531ORE,112120,673.953271277578
532100,112120,106.53281339762
532400,112120,106.456039131764
541100,112120,35.4595720712129
541512,112120,15.8118411490483
54151A,112120,9.85079344111352
541200,112120,304.771260990698
541940,112120,68.0621378197306
561300,112120,2.35044920510897
561700,112120,39.4989794725835
561400,112120,3.13866811951197
562000,112120,52.3861491367851
711100,112120,11.1992147542906
711200,112120,13.7955514319212
713900,112120,4.15083416571462
721000,112120,0.659330088387473
722110,112120,45.5876221455076
722211,112120,10.7211684820783
722A00,112120,11.3758534401973
811100,112120,20.5354175627461
811200,112120,34.7844226021244
811300,112120,4.17118261100922
813B00,112120,17.417550888178
491000,112120,5.17541823585011
1111B0,1121A0,5642.28240218699
111900,1121A0,474.114147002539
1121A0,1121A0,32411.087954566
112A00,1121A0,479.52612002669
115000,1121A0,812.063080060934
212310,1121A0,24.8609760509771
221100,1121A0,159.710680048884
221200,1121A0,107.946959186725
221300,1121A0,68.4217763108607
3219A0,1121A0,4.99526662274714
331200,1121A0,4.03116875062359
332200,1121A0,146.578393511238
332310,1121A0,29.6139759670719
332500,1121A0,4.39008094312823
332600,1121A0,1016.24698494517
332710,1121A0,1.83077829850965
332999,1121A0,0.912740931168311
333111,1121A0,30.2335295874854
333920,1121A0,0.729256873314963
