Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USImpVal
ALBANIA,337214,804,2,125,56107
ALBANIA,337215,804,2,125,41845
ALBANIA,337910,804,2,125,951297
ALBANIA,339114,804,2,125,3333
ALBANIA,339115,804,2,125,7599
ALBANIA,339910,804,2,125,2262
ALBANIA,339950,804,2,125,2350
ALBANIA,339991,804,2,125,5870
ALBANIA,339992,804,2,125,37157
ALBANIA,339999,804,2,125,12821
ALGERIA,111339,805,3,126,10287958
ALGERIA,114111,805,3,126,3081
ALGERIA,211120,805,3,126,468166280.531833
ALGERIA,211130,805,3,126,43010949.956989
ALGERIA,311224,805,3,126,142957
ALGERIA,311225,805,3,126,16182
ALGERIA,311340,805,3,126,4629
ALGERIA,311351,805,3,126,268.472300742345
ALGERIA,311352,805,3,126,1777.52769925765
ALGERIA,311421,805,3,126,53453
ALGERIA,311513,805,3,126,5520
ALGERIA,311514,805,3,126,18577
ALGERIA,311811,805,3,126,16425.8275799447
ALGERIA,311812,805,3,126,15455.3434211296
ALGERIA,311813,805,3,126,879.828998925761
ALGERIA,311824,805,3,126,7716
ALGERIA,311920,805,3,126,22766
ALGERIA,311941,805,3,126,11680
ALGERIA,311942,805,3,126,14555
ALGERIA,311999,805,3,126,3460
ALGERIA,312111,805,3,126,108024
ALGERIA,313220,805,3,126,4912
ALGERIA,315110,805,3,126,5320
ALGERIA,315220,805,3,126,28970
ALGERIA,315240,805,3,126,89808
ALGERIA,315280,805,3,126,1299
ALGERIA,315990,805,3,126,11915
ALGERIA,316210,805,3,126,70547.999929452
ALGERIA,322219,805,3,126,23250
ALGERIA,322220,805,3,126,24900
ALGERIA,323117,805,3,126,9367
ALGERIA,324110,805,3,126,1874419748.12558
ALGERIA,325110,805,3,126,10250364
ALGERIA,325120,805,3,126,714621
ALGERIA,325194,805,3,126,15424430
ALGERIA,325199,805,3,126,2142
ALGERIA,325311,805,3,126,171200100
ALGERIA,326113,805,3,126,64398
ALGERIA,326199,805,3,126,8623
ALGERIA,326211,805,3,126,6944183
ALGERIA,326220,805,3,126,550
ALGERIA,327110,805,3,126,10462
ALGERIA,327310,805,3,126,18162406
ALGERIA,331110,805,3,126,350594379
ALGERIA,331318,805,3,126,2301700
ALGERIA,332420,805,3,126,680000
ALGERIA,332510,805,3,126,4296
ALGERIA,333120,805,3,126,8700
ALGERIA,333131,805,3,126,5640
ALGERIA,333413,805,3,126,183236
ALGERIA,333414,805,3,126,53247
ALGERIA,333912,805,3,126,16992
ALGERIA,333999,805,3,126,1e+05
ALGERIA,334118,805,3,126,42677
ALGERIA,334220,805,3,126,2344
ALGERIA,334290,805,3,126,2276
ALGERIA,334413,805,3,126,11753
ALGERIA,334511,805,3,126,10000
ALGERIA,334515,805,3,126,13211
ALGERIA,334517,805,3,126,8396
ALGERIA,335122,805,3,126,14615
ALGERIA,335312,805,3,126,59529
ALGERIA,335313,805,3,126,47556
ALGERIA,335314,805,3,126,18765
ALGERIA,335921,805,3,126,4643
ALGERIA,335931,805,3,126,12732
ALGERIA,335999,805,3,126,2508
ALGERIA,336310,805,3,126,10315
ALGERIA,336320,805,3,126,6052
ALGERIA,336360,805,3,126,1497
ALGERIA,337121,805,3,126,22208
ALGERIA,337127,805,3,126,485
ALGERIA,339910,805,3,126,8108
ALGERIA,339950,805,3,126,2410
ALGERIA,339999,805,3,126,7339
ANDORRA,314120,804,4,127,2598
ANDORRA,314999,804,4,127,255
ANDORRA,315220,804,4,127,37763
ANDORRA,315240,804,4,127,9404
ANDORRA,321999,804,4,127,2664.999997335
ANDORRA,323111,804,4,127,65355
ANDORRA,325180,804,4,127,10695
ANDORRA,325199,804,4,127,3075448
ANDORRA,326199,804,4,127,88316
ANDORRA,332911,804,4,127,149033
ANDORRA,332912,804,4,127,4825
ANDORRA,333120,804,4,127,3449
ANDORRA,333244,804,4,127,2306
ANDORRA,333413,804,4,127,90130
ANDORRA,333517,804,4,127,5834
ANDORRA,333611,804,4,127,29500
ANDORRA,333914,804,4,127,19750
ANDORRA,333922,804,4,127,5398
ANDORRA,333995,804,4,127,11375
ANDORRA,333999,804,4,127,63570
ANDORRA,334111,804,4,127,8894
ANDORRA,334220,804,4,127,253491
ANDORRA,334310,804,4,127,3794
ANDORRA,334412,804,4,127,6282
ANDORRA,334413,804,4,127,4158731
ANDORRA,334419,804,4,127,13245
ANDORRA,334510,804,4,127,3289
ANDORRA,334515,804,4,127,7261
ANDORRA,334516,804,4,127,3140
ANDORRA,334519,804,4,127,3094
ANDORRA,335312,804,4,127,11209
ANDORRA,335999,804,4,127,6024
ANDORRA,336320,804,4,127,8276
ANDORRA,336390,804,4,127,29087
ANDORRA,336411,804,4,127,177053
ANDORRA,336991,804,4,127,415527
ANDORRA,337122,804,4,127,4724
ANDORRA,339116,804,4,127,188240
ANDORRA,339930,804,4,127,38813
ANDORRA,339991,804,4,127,6458
ANDORRA,339992,804,4,127,274292
ANGOLA,111339,805,5,128,124220
ANGOLA,114111,805,5,128,6655
ANGOLA,114112,805,5,128,127988
ANGOLA,211120,805,5,128,1131827636.86817
ANGOLA,211130,805,5,128,103256392.896743
ANGOLA,212393,805,5,128,876015
ANGOLA,321113,805,5,128,260815
ANGOLA,323117,805,5,128,11849
ANGOLA,324110,805,5,128,226027694.773972
ANGOLA,325110,805,5,128,13599849
ANGOLA,325998,805,5,128,3864
ANGOLA,326199,805,5,128,32551
ANGOLA,327110,805,5,128,11039
ANGOLA,327991,805,5,128,4871
ANGOLA,331222,805,5,128,7859034
ANGOLA,333611,805,5,128,47333
ANGOLA,333999,805,5,128,40387
ANGOLA,334310,805,5,128,3693
ANGOLA,334413,805,5,128,104919
ANGOLA,335911,805,5,128,4616
ANGOLA,339910,805,5,128,32091085
ANGUILLA,212393,803,6,129,2080
ANGUILLA,312130,803,6,129,224159
ANGUILLA,315240,803,6,129,764
ANGUILLA,315990,803,6,129,468
ANGUILLA,322211,803,6,129,13000
ANGUILLA,325211,803,6,129,56588
ANGUILLA,325414,803,6,129,2100
ANGUILLA,325620,803,6,129,4574
ANGUILLA,326199,803,6,129,32928
ANGUILLA,327213,803,6,129,11606
ANGUILLA,332510,803,6,129,2978
ANGUILLA,332618,803,6,129,11232
ANGUILLA,332996,803,6,129,4066
ANGUILLA,333120,803,6,129,5000
ANGUILLA,333996,803,6,129,2754
ANGUILLA,334112,803,6,129,2711
ANGUILLA,334118,803,6,129,5750
ANGUILLA,334413,803,6,129,4961
ANGUILLA,336390,803,6,129,3000
ANGUILLA,337127,803,6,129,1185
ANGUILLA,339115,803,6,129,45625
ANGUILLA,339910,803,6,129,5000
ANGUILLA,339920,803,6,129,2700
ANGUILLA,339991,803,6,129,5970
ANGUILLA,339992,803,6,129,3000
ANTIGUA AND BARBUDA,211130,803,7,130,978907.999021092
ANTIGUA AND BARBUDA,212322,803,7,130,51170
ANTIGUA AND BARBUDA,212399,803,7,130,48946
ANTIGUA AND BARBUDA,311411,803,7,130,11963
ANTIGUA AND BARBUDA,311999,803,7,130,33200
ANTIGUA AND BARBUDA,312140,803,7,130,46710
