Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USExpVal
FRENCH POLYNESIA,339112,808,76,199,673367
GUADELOUPE,339112,803,88,211,99510
HONG KONG,339112,807,96,219,132371664
"KOREA, SOUTH",339112,807,113,236,361172097
KOSOVO,339112,804,114,237,190187
MACAU,339112,807,126,249,37735
MACEDONIA,339112,804,127,250,112663
MARTINIQUE,339112,803,135,258,136761
NEW CALEDONIA,339112,808,152,275,4356
REUNION,339112,805,172,295,149864
RUSSIA,339112,804,174,297,16964050
SINT MAARTEN,339112,803,185,308,2750504
SOUTH SUDAN,339112,805,191,314,143578
ST KITTS AND NEVIS,339112,803,195,318,765186
ST LUCIA,339112,803,196,319,426821
ST VINCENT AND THE GRENADINES,339112,803,198,321,426854
TAIWAN,339112,807,205,328,225140295
WEST BANK ADMINISTERED BY ISRAEL,339112,806,230,353,205198
BRUNEI,339113,808,30,153,116886
BURMA,339113,808,33,156,422244
CABO VERDE,339113,805,35,158,13198
CONGO (BRAZZAVILLE),339113,805,48,171,142038
CONGO (KINSHASA),339113,805,49,172,264811
COTE D'IVOIRE,339113,805,52,175,479537
CURACAO,339113,803,55,178,1177077
ESWATINI,339113,805,68,191,5750
FRENCH POLYNESIA,339113,808,76,199,298476
GUADELOUPE,339113,803,88,211,48513
HONG KONG,339113,807,96,219,92944236
"KOREA, SOUTH",339113,807,113,236,220150490
KOSOVO,339113,804,114,237,32701
MACAU,339113,807,126,249,294439
MACEDONIA,339113,804,127,250,88756
MARTINIQUE,339113,803,135,258,18212
MAYOTTE,339113,805,138,261,260490
NEW CALEDONIA,339113,808,152,275,33921
NIUE,339113,808,157,280,4541
PITCAIRN ISLANDS,339113,808,168,291,12907
REUNION,339113,805,172,295,5380
RUSSIA,339113,804,174,297,44977757
SINT MAARTEN,339113,803,185,308,709005
SOUTH SUDAN,339113,805,191,314,30031
ST KITTS AND NEVIS,339113,803,195,318,404977
ST LUCIA,339113,803,196,319,834638
ST VINCENT AND THE GRENADINES,339113,803,198,321,792600
TAIWAN,339113,807,205,328,126097802
WEST BANK ADMINISTERED BY ISRAEL,339113,806,230,353,137055
BRUNEI,339114,808,30,153,65240
BURMA,339114,808,33,156,37665
CURACAO,339114,803,55,178,42616
ESWATINI,339114,805,68,191,2700
GUADELOUPE,339114,803,88,211,170749
HONG KONG,339114,807,96,219,16383478
"KOREA, SOUTH",339114,807,113,236,16873204
KOSOVO,339114,804,114,237,50272
MACEDONIA,339114,804,127,250,9200
MARTINIQUE,339114,803,135,258,23109
NEW CALEDONIA,339114,808,152,275,3361
REUNION,339114,805,172,295,32113
RUSSIA,339114,804,174,297,8840048
SINT MAARTEN,339114,803,185,308,21912
ST KITTS AND NEVIS,339114,803,195,318,69851
ST LUCIA,339114,803,196,319,6020
ST VINCENT AND THE GRENADINES,339114,803,198,321,14400
TAIWAN,339114,807,205,328,20746161
BURMA,339115,808,33,156,158804
CURACAO,339115,803,55,178,1078468
FRENCH POLYNESIA,339115,808,76,199,206560
GUADELOUPE,339115,803,88,211,165290
HEARD AND MCDONALD ISLANDS,339115,805,94,217,9177
HONG KONG,339115,807,96,219,103800796
"KOREA, SOUTH",339115,807,113,236,85830472
KOSOVO,339115,804,114,237,4496
MACAU,339115,807,126,249,71457
MACEDONIA,339115,804,127,250,196852
MAYOTTE,339115,805,138,261,15430
NEW CALEDONIA,339115,808,152,275,106950
REUNION,339115,805,172,295,8900
RUSSIA,339115,804,174,297,34930809
SINT MAARTEN,339115,803,185,308,1780734
SOUTH SUDAN,339115,805,191,314,97945
ST KITTS AND NEVIS,339115,803,195,318,353045
ST LUCIA,339115,803,196,319,200830
ST VINCENT AND THE GRENADINES,339115,803,198,321,67022
TAIWAN,339115,807,205,328,36565064
WEST BANK ADMINISTERED BY ISRAEL,339115,806,230,353,21181
BRUNEI,339116,808,30,153,8334
BURMA,339116,808,33,156,36565
CURACAO,339116,803,55,178,3967
HONG KONG,339116,807,96,219,4076951
"KOREA, SOUTH",339116,807,113,236,14115859
KOSOVO,339116,804,114,237,137393
MACEDONIA,339116,804,127,250,46461
RUSSIA,339116,804,174,297,2630688
TAIWAN,339116,807,205,328,10345383
BRITISH INDIAN OCEAN TERRITORIES,339910,806,28,151,6313
BRUNEI,339910,808,30,153,14621
CONGO (BRAZZAVILLE),339910,805,48,171,3600
COTE D'IVOIRE,339910,805,52,175,43222
CURACAO,339910,803,55,178,4947751
ESWATINI,339910,805,68,191,45855
FRENCH GUIANA,339910,803,75,198,16500
FRENCH POLYNESIA,339910,808,76,199,1529027
GUADELOUPE,339910,803,88,211,2225280
HONG KONG,339910,807,96,219,3283585909
"KOREA, SOUTH",339910,807,113,236,187297161
MACAU,339910,807,126,249,117511213
MACEDONIA,339910,804,127,250,2783
MARTINIQUE,339910,803,135,258,273993
NEW CALEDONIA,339910,808,152,275,68953
REUNION,339910,805,172,295,2640
RUSSIA,339910,804,174,297,12512562
SINT MAARTEN,339910,803,185,308,216584395
ST KITTS AND NEVIS,339910,803,195,318,10812269
ST LUCIA,339910,803,196,319,5484033
ST VINCENT AND THE GRENADINES,339910,803,198,321,2846000
TAIWAN,339910,807,205,328,161348099
BRUNEI,339920,808,30,153,44212
BURMA,339920,808,33,156,77849
CABO VERDE,339920,805,35,158,6500
COCOS (KEELING) ISLANDS,339920,808,45,168,30227
CONGO (BRAZZAVILLE),339920,805,48,171,34320
CONGO (KINSHASA),339920,805,49,172,13546
COTE D'IVOIRE,339920,805,52,175,1015560
CURACAO,339920,803,55,178,2203751
ESWATINI,339920,805,68,191,28748
FRENCH GUIANA,339920,803,75,198,89053
FRENCH POLYNESIA,339920,808,76,199,2086782
GUADELOUPE,339920,803,88,211,394640
HONG KONG,339920,807,96,219,35849980
"KOREA, SOUTH",339920,807,113,236,203020087
KOSOVO,339920,804,114,237,107230
MACAU,339920,807,126,249,405133
MACEDONIA,339920,804,127,250,20961
MARTINIQUE,339920,803,135,258,61835
NEW CALEDONIA,339920,808,152,275,316673
REUNION,339920,805,172,295,54160
RUSSIA,339920,804,174,297,2180264
SINT MAARTEN,339920,803,185,308,1259437
SOUTH SUDAN,339920,805,191,314,4945
ST KITTS AND NEVIS,339920,803,195,318,1002929
ST LUCIA,339920,803,196,319,1016413
ST VINCENT AND THE GRENADINES,339920,803,198,321,275039
TAIWAN,339920,807,205,328,21826303
BRUNEI,339930,808,30,153,75574
BURMA,339930,808,33,156,5810
COCOS (KEELING) ISLANDS,339930,808,45,168,66794
CONGO (BRAZZAVILLE),339930,805,48,171,19778
CONGO (KINSHASA),339930,805,49,172,18321
COTE D'IVOIRE,339930,805,52,175,90407
CURACAO,339930,803,55,178,928144
FRENCH GUIANA,339930,803,75,198,3740
FRENCH POLYNESIA,339930,808,76,199,175251
GUADELOUPE,339930,803,88,211,72579
HONG KONG,339930,807,96,219,88554736
"KOREA, SOUTH",339930,807,113,236,17258113
MACAU,339930,807,126,249,77859
MACEDONIA,339930,804,127,250,47421
MARTINIQUE,339930,803,135,258,46900
NEW CALEDONIA,339930,808,152,275,6700
RUSSIA,339930,804,174,297,517377
SINT MAARTEN,339930,803,185,308,416113
SOUTH SUDAN,339930,805,191,314,24259
ST KITTS AND NEVIS,339930,803,195,318,63769
ST LUCIA,339930,803,196,319,1238915
ST VINCENT AND THE GRENADINES,339930,803,198,321,33234
TAIWAN,339930,807,205,328,15358189
BURMA,339940,808,33,156,3743
COCOS (KEELING) ISLANDS,339940,808,45,168,59542
CONGO (KINSHASA),339940,805,49,172,189885
COTE D'IVOIRE,339940,805,52,175,26083
CURACAO,339940,803,55,178,1291011
FRENCH POLYNESIA,339940,808,76,199,25329
GUADELOUPE,339940,803,88,211,3200
HONG KONG,339940,807,96,219,3309679
"KOREA, SOUTH",339940,807,113,236,7935421
KOSOVO,339940,804,114,237,27685
MACAU,339940,807,126,249,20378
MACEDONIA,339940,804,127,250,10760
MARTINIQUE,339940,803,135,258,40365
RUSSIA,339940,804,174,297,83089
SINT MAARTEN,339940,803,185,308,796068
ST KITTS AND NEVIS,339940,803,195,318,96745
ST LUCIA,339940,803,196,319,536454
ST VINCENT AND THE GRENADINES,339940,803,198,321,1177962
TAIWAN,339940,807,205,328,1724487
BRUNEI,339950,808,30,153,11776
CURACAO,339950,803,55,178,41468
HONG KONG,339950,807,96,219,1009145
"KOREA, SOUTH",339950,807,113,236,1473738
MACAU,339950,807,126,249,21955
RUSSIA,339950,804,174,297,39244
SINT MAARTEN,339950,803,185,308,43642
ST KITTS AND NEVIS,339950,803,195,318,41738
ST LUCIA,339950,803,196,319,6615
TAIWAN,339950,807,205,328,578308
BRITISH INDIAN OCEAN TERRITORIES,339991,806,28,151,4299
BRUNEI,339991,808,30,153,598114
BURMA,339991,808,33,156,132658
CONGO (BRAZZAVILLE),339991,805,48,171,275123
CONGO (KINSHASA),339991,805,49,172,63850
COTE D'IVOIRE,339991,805,52,175,73429
CURACAO,339991,803,55,178,521935
FRENCH GUIANA,339991,803,75,198,9891
FRENCH POLYNESIA,339991,808,76,199,243690
GUADELOUPE,339991,803,88,211,11471
HONG KONG,339991,807,96,219,26644400
"KOREA, SOUTH",339991,807,113,236,202991768
KOSOVO,339991,804,114,237,4500
MACAU,339991,807,126,249,47352
MACEDONIA,339991,804,127,250,23355
MARTINIQUE,339991,803,135,258,22395
NEW CALEDONIA,339991,808,152,275,79974
RUSSIA,339991,804,174,297,5200537
SINT MAARTEN,339991,803,185,308,14950
SOUTH SUDAN,339991,805,191,314,10965
ST KITTS AND NEVIS,339991,803,195,318,46469
ST LUCIA,339991,803,196,319,195258
ST VINCENT AND THE GRENADINES,339991,803,198,321,4000
TAIWAN,339991,807,205,328,126640548
BRUNEI,339992,808,30,153,6046
BURMA,339992,808,33,156,36716
COCOS (KEELING) ISLANDS,339992,808,45,168,10819
CURACAO,339992,803,55,178,35186
FRENCH POLYNESIA,339992,808,76,199,68349
GUADELOUPE,339992,803,88,211,3888
HONG KONG,339992,807,96,219,42715126
"KOREA, SOUTH",339992,807,113,236,29932034
MACAU,339992,807,126,249,236725
MARTINIQUE,339992,803,135,258,22058
NEW CALEDONIA,339992,808,152,275,29776
REUNION,339992,805,172,295,13000
RUSSIA,339992,804,174,297,1883325
SINT MAARTEN,339992,803,185,308,23468
ST KITTS AND NEVIS,339992,803,195,318,10195
ST LUCIA,339992,803,196,319,10700
TAIWAN,339992,807,205,328,8181619
CURACAO,339993,803,55,178,10329
ESWATINI,339993,805,68,191,168231
FRENCH GUIANA,339993,803,75,198,12000
HONG KONG,339993,807,96,219,2619620
"KOREA, SOUTH",339993,807,113,236,2743855
MACAU,339993,807,126,249,57654
MACEDONIA,339993,804,127,250,18049
RUSSIA,339993,804,174,297,217671
ST KITTS AND NEVIS,339993,803,195,318,44541
ST LUCIA,339993,803,196,319,4216
TAIWAN,339993,807,205,328,1578324
BRUNEI,339994,808,30,153,10514
BURMA,339994,808,33,156,3964
COTE D'IVOIRE,339994,805,52,175,15919
CURACAO,339994,803,55,178,938493
FRENCH POLYNESIA,339994,808,76,199,10896
GUADELOUPE,339994,803,88,211,7466
HONG KONG,339994,807,96,219,6257694
"KOREA, SOUTH",339994,807,113,236,18703865
MACEDONIA,339994,804,127,250,3180
NEW CALEDONIA,339994,808,152,275,5896
RUSSIA,339994,804,174,297,283861
SINT MAARTEN,339994,803,185,308,62027
ST KITTS AND NEVIS,339994,803,195,318,66208
ST LUCIA,339994,803,196,319,54131
ST VINCENT AND THE GRENADINES,339994,803,198,321,49544
TAIWAN,339994,807,205,328,9324931
WEST BANK ADMINISTERED BY ISRAEL,339994,806,230,353,5581
"KOREA, SOUTH",339995,807,113,236,45990
SINT MAARTEN,339995,803,185,308,21568
BRITISH INDIAN OCEAN TERRITORIES,339999,806,28,151,3015
BRUNEI,339999,808,30,153,242294
BURMA,339999,808,33,156,342766
CABO VERDE,339999,805,35,158,11553
COCOS (KEELING) ISLANDS,339999,808,45,168,60946
CONGO (KINSHASA),339999,805,49,172,102418
COTE D'IVOIRE,339999,805,52,175,263466
CURACAO,339999,803,55,178,2708599
ESWATINI,339999,805,68,191,23144
FRENCH GUIANA,339999,803,75,198,90491
FRENCH POLYNESIA,339999,808,76,199,168553
FRENCH SOUTHERN AND ANTARCTIC LANDS,339999,805,77,200,8017
GUADELOUPE,339999,803,88,211,1202629
HONG KONG,339999,807,96,219,57823062
"KOREA, SOUTH",339999,807,113,236,63869935
KOSOVO,339999,804,114,237,205283
MACAU,339999,807,126,249,2377938
MACEDONIA,339999,804,127,250,3176
MARTINIQUE,339999,803,135,258,277063
NEW CALEDONIA,339999,808,152,275,18864
REUNION,339999,805,172,295,5044
RUSSIA,339999,804,174,297,3709353
SINT MAARTEN,339999,803,185,308,2367288
SOUTH SUDAN,339999,805,191,314,8099
ST KITTS AND NEVIS,339999,803,195,318,749922
ST LUCIA,339999,803,196,319,911437
ST VINCENT AND THE GRENADINES,339999,803,198,321,455441
TAIWAN,339999,807,205,328,37574140
WEST BANK ADMINISTERED BY ISRAEL,339999,806,230,353,12000
AFGHANISTAN,111219,806,1,124,3850
AFGHANISTAN,111335,806,1,124,6973875
AFGHANISTAN,111422,806,1,124,43178
AFGHANISTAN,311211,806,1,124,41561
AFGHANISTAN,311422,806,1,124,198720
AFGHANISTAN,311514,806,1,124,1521805
AFGHANISTAN,311611,806,1,124,57784
AFGHANISTAN,311615,806,1,124,89156
AFGHANISTAN,311710,806,1,124,4521
AFGHANISTAN,311999,806,1,124,43650
AFGHANISTAN,314999,806,1,124,12030
AFGHANISTAN,315220,806,1,124,189033
AFGHANISTAN,321114,806,1,124,26522
AFGHANISTAN,322220,806,1,124,2859
AFGHANISTAN,322299,806,1,124,3742
AFGHANISTAN,323111,806,1,124,46115
AFGHANISTAN,324110,806,1,124,9546.999990453
AFGHANISTAN,325180,806,1,124,55000
AFGHANISTAN,325320,806,1,124,18432
AFGHANISTAN,325413,806,1,124,56364
AFGHANISTAN,325414,806,1,124,6300000
AFGHANISTAN,325620,806,1,124,384788
AFGHANISTAN,326199,806,1,124,21300
AFGHANISTAN,331491,806,1,124,20592
AFGHANISTAN,332618,806,1,124,13780
AFGHANISTAN,332911,806,1,124,21681
AFGHANISTAN,332991,806,1,124,16359
AFGHANISTAN,332996,806,1,124,4248
AFGHANISTAN,332999,806,1,124,38542
AFGHANISTAN,333318,806,1,124,8670
AFGHANISTAN,333413,806,1,124,42880
AFGHANISTAN,333611,806,1,124,198197
AFGHANISTAN,333992,806,1,124,2772
AFGHANISTAN,333994,806,1,124,19439
AFGHANISTAN,333996,806,1,124,38537
AFGHANISTAN,333997,806,1,124,2640
AFGHANISTAN,333999,806,1,124,9066
AFGHANISTAN,334111,806,1,124,706602
AFGHANISTAN,334118,806,1,124,56087
AFGHANISTAN,334220,806,1,124,437914
AFGHANISTAN,334310,806,1,124,10993
AFGHANISTAN,334413,806,1,124,395771
AFGHANISTAN,334419,806,1,124,283831
AFGHANISTAN,334513,806,1,124,14174
AFGHANISTAN,334515,806,1,124,5000
AFGHANISTAN,334516,806,1,124,730668
AFGHANISTAN,334517,806,1,124,8627
AFGHANISTAN,335312,806,1,124,102030
AFGHANISTAN,335314,806,1,124,16025
AFGHANISTAN,335911,806,1,124,4605
AFGHANISTAN,335931,806,1,124,129437
AFGHANISTAN,335999,806,1,124,125855
AFGHANISTAN,336390,806,1,124,8283
AFGHANISTAN,336411,806,1,124,250335.393444198
AFGHANISTAN,336412,806,1,124,102135.223391071
AFGHANISTAN,336413,806,1,124,177469.47330701
AFGHANISTAN,336414,806,1,124,26409.0659615144
AFGHANISTAN,336415,806,1,124,13070.4593576774
AFGHANISTAN,336419,806,1,124,3128.38453852879
AFGHANISTAN,339112,806,1,124,885642
AFGHANISTAN,339113,806,1,124,69644
ALBANIA,111219,804,2,125,45765
ALBANIA,111335,804,2,125,618780
ALBANIA,111940,804,2,125,24180
ALBANIA,114111,804,2,125,131292
ALBANIA,114112,804,2,125,27000
ALBANIA,211130,804,2,125,15087554.9849124
ALBANIA,311111,804,2,125,11764
ALBANIA,311212,804,2,125,7080
ALBANIA,311221,804,2,125,75845
ALBANIA,311224,804,2,125,20345
ALBANIA,311340,804,2,125,55659
ALBANIA,311611,804,2,125,119503
ALBANIA,311615,804,2,125,12432227
ALBANIA,311999,804,2,125,279124
ALBANIA,312140,804,2,125,1587768
ALBANIA,314110,804,2,125,57045
ALBANIA,314120,804,2,125,23000
ALBANIA,314994,804,2,125,16673
ALBANIA,314999,804,2,125,2856
ALBANIA,315220,804,2,125,188079
ALBANIA,315240,804,2,125,27498
ALBANIA,315990,804,2,125,5673
ALBANIA,316210,804,2,125,3211.999996788
ALBANIA,316998,804,2,125,3320.999996679
ALBANIA,321113,804,2,125,343590
ALBANIA,321211,804,2,125,493409
ALBANIA,321911,804,2,125,72500
ALBANIA,321920,804,2,125,5563.999994436
ALBANIA,322110,804,2,125,1179218
ALBANIA,322121,804,2,125,60976
ALBANIA,322220,804,2,125,17877
ALBANIA,322299,804,2,125,7045
ALBANIA,323111,804,2,125,37395
ALBANIA,323117,804,2,125,15281
ALBANIA,324110,804,2,125,22749251.9772507
ALBANIA,324191,804,2,125,5676
ALBANIA,324199,804,2,125,28460
ALBANIA,325110,804,2,125,26460
ALBANIA,325180,804,2,125,62021
ALBANIA,325194,804,2,125,3030
ALBANIA,325199,804,2,125,3893
ALBANIA,325211,804,2,125,2715405
ALBANIA,325212,804,2,125,21177
ALBANIA,325411,804,2,125,210393
ALBANIA,325412,804,2,125,119940
ALBANIA,325413,804,2,125,4431
ALBANIA,325510,804,2,125,175189
ALBANIA,325520,804,2,125,79318
ALBANIA,325611,804,2,125,17211.999982788
ALBANIA,325612,804,2,125,7614.999992385
ALBANIA,325613,804,2,125,281671.999718328
ALBANIA,325620,804,2,125,468808
ALBANIA,325920,804,2,125,244622
ALBANIA,325992,804,2,125,10000
ALBANIA,325998,804,2,125,1241333
ALBANIA,326113,804,2,125,4536
ALBANIA,326121,804,2,125,16952
ALBANIA,326122,804,2,125,252181
ALBANIA,326199,804,2,125,129170
ALBANIA,326299,804,2,125,52730
ALBANIA,327110,804,2,125,15047
ALBANIA,332216,804,2,125,19446.999980553
ALBANIA,332420,804,2,125,20000
ALBANIA,332431,804,2,125,229865
ALBANIA,332510,804,2,125,2632
ALBANIA,332722,804,2,125,24500
ALBANIA,332911,804,2,125,88262
ALBANIA,332993,804,2,125,1857025.99814297
ALBANIA,332994,804,2,125,23483.999976516
ALBANIA,332999,804,2,125,560997
ALBANIA,333111,804,2,125,463994
ALBANIA,333120,804,2,125,10400
ALBANIA,333131,804,2,125,1234082
ALBANIA,333132,804,2,125,725867
ALBANIA,333241,804,2,125,9580
ALBANIA,333243,804,2,125,9000
ALBANIA,333249,804,2,125,333532
ALBANIA,333314,804,2,125,61093
ALBANIA,333316,804,2,125,13760
ALBANIA,333318,804,2,125,32668
ALBANIA,333415,804,2,125,3000
ALBANIA,333515,804,2,125,15800
ALBANIA,333612,804,2,125,83700
ALBANIA,333613,804,2,125,2939
ALBANIA,333618,804,2,125,27902
ALBANIA,333912,804,2,125,122106
ALBANIA,333914,804,2,125,21817
ALBANIA,333922,804,2,125,4021
ALBANIA,333924,804,2,125,3000
ALBANIA,333993,804,2,125,22969
ALBANIA,333996,804,2,125,3e+05
ALBANIA,333999,804,2,125,651432
ALBANIA,334111,804,2,125,861485
ALBANIA,334112,804,2,125,125204
ALBANIA,334118,804,2,125,183142
ALBANIA,334210,804,2,125,40623
ALBANIA,334220,804,2,125,2176880
ALBANIA,334290,804,2,125,264733
ALBANIA,334310,804,2,125,73013
ALBANIA,334412,804,2,125,3900
ALBANIA,334413,804,2,125,8213
ALBANIA,334417,804,2,125,3053
ALBANIA,334418,804,2,125,2725
ALBANIA,334419,804,2,125,5617
ALBANIA,334510,804,2,125,291815
ALBANIA,334511,804,2,125,62041
ALBANIA,334512,804,2,125,45467
ALBANIA,334513,804,2,125,12446
ALBANIA,334515,804,2,125,50189
ALBANIA,334516,804,2,125,227340
ALBANIA,334517,804,2,125,1128980
ALBANIA,334519,804,2,125,59469
ALBANIA,334613,804,2,125,97600
ALBANIA,334614,804,2,125,43338
ALBANIA,335110,804,2,125,5841
ALBANIA,335210,804,2,125,13833
ALBANIA,335220,804,2,125,33469
ALBANIA,335312,804,2,125,46615
ALBANIA,335314,804,2,125,6209
ALBANIA,335911,804,2,125,23503
ALBANIA,335912,804,2,125,29098
ALBANIA,335931,804,2,125,6541
ALBANIA,335932,804,2,125,74767
ALBANIA,335999,804,2,125,342673
ALBANIA,336111,804,2,125,15861166
ALBANIA,336112,804,2,125,13750
ALBANIA,336211,804,2,125,12892
ALBANIA,336310,804,2,125,14200
ALBANIA,336320,804,2,125,51559
ALBANIA,336330,804,2,125,6997
ALBANIA,336340,804,2,125,6748
ALBANIA,336370,804,2,125,5950
ALBANIA,336390,804,2,125,3352581
ALBANIA,336411,804,2,125,463563.916947671
ALBANIA,336412,804,2,125,21002
ALBANIA,336412,804,2,125,189131.083551892
ALBANIA,336413,804,2,125,6000
ALBANIA,336413,804,2,125,328632.891469964
ALBANIA,336414,804,2,125,48903.552516548
ALBANIA,336415,804,2,125,24203.5025602598
ALBANIA,336419,804,2,125,5793.05295366554
ALBANIA,336611,804,2,125,10000
ALBANIA,336612,804,2,125,207360
ALBANIA,336991,804,2,125,316455
ALBANIA,336999,804,2,125,16837
ALBANIA,337122,804,2,125,4000
ALBANIA,337124,804,2,125,20000
ALBANIA,337211,804,2,125,14048
ALBANIA,339112,804,2,125,74966
ALBANIA,339113,804,2,125,187067
ALBANIA,339114,804,2,125,336824
ALBANIA,339115,804,2,125,177672
ALBANIA,339116,804,2,125,405487
ALBANIA,339920,804,2,125,246965
ALBANIA,339930,804,2,125,13553
ALBANIA,339992,804,2,125,15229
ALBANIA,339994,804,2,125,11674
ALBANIA,339999,804,2,125,341742
ALGERIA,111110,805,3,126,239042505
ALGERIA,111130,805,3,126,3984846
ALGERIA,111140,805,3,126,44303620
ALGERIA,111199,805,3,126,497189
ALGERIA,111219,805,3,126,2355903
ALGERIA,111335,805,3,126,48154126
ALGERIA,111421,805,3,126,11816
ALGERIA,111920,805,3,126,3020905
ALGERIA,111998,805,3,126,9095818
ALGERIA,112310,805,3,126,3929911
ALGERIA,112320,805,3,126,0
ALGERIA,112330,805,3,126,0
ALGERIA,112340,805,3,126,0
ALGERIA,112390,805,3,126,0
ALGERIA,113310,805,3,126,8454876
ALGERIA,212111,805,3,126,10000
ALGERIA,212319,805,3,126,28410
ALGERIA,212324,805,3,126,41906
ALGERIA,212399,805,3,126,25908
ALGERIA,311119,805,3,126,3566034
ALGERIA,311221,805,3,126,3549924
ALGERIA,311224,805,3,126,76447
ALGERIA,311514,805,3,126,12139368
ALGERIA,311710,805,3,126,47894
ALGERIA,311999,805,3,126,466752
ALGERIA,313210,805,3,126,88535
ALGERIA,313220,805,3,126,292424
ALGERIA,313230,805,3,126,1132205
ALGERIA,313320,805,3,126,26000
ALGERIA,314120,805,3,126,3143
ALGERIA,314999,805,3,126,904177
ALGERIA,315990,805,3,126,14993
ALGERIA,316210,805,3,126,1383060.99861693
ALGERIA,316992,805,3,126,52854.999947145
ALGERIA,316998,805,3,126,112326.999887673
ALGERIA,321113,805,3,126,1351553
ALGERIA,321920,805,3,126,60021.999939978
ALGERIA,321999,805,3,126,126345.999873653
ALGERIA,322110,805,3,126,54767250
ALGERIA,322121,805,3,126,261266
ALGERIA,322130,805,3,126,1791776
ALGERIA,322211,805,3,126,29816
ALGERIA,322220,805,3,126,134267
ALGERIA,322299,805,3,126,12548
ALGERIA,323111,805,3,126,156163
ALGERIA,323117,805,3,126,10434
ALGERIA,324110,805,3,126,1671350.99832864
ALGERIA,324191,805,3,126,492777
ALGERIA,324199,805,3,126,1369092
ALGERIA,325130,805,3,126,31762
ALGERIA,325180,805,3,126,13152404
ALGERIA,325194,805,3,126,113666
ALGERIA,325199,805,3,126,762510
ALGERIA,325211,805,3,126,114307817
ALGERIA,325212,805,3,126,203073
ALGERIA,325311,805,3,126,1040872
ALGERIA,325312,805,3,126,37446
ALGERIA,325320,805,3,126,83543
ALGERIA,325411,805,3,126,274785
ALGERIA,325412,805,3,126,970918
ALGERIA,325413,805,3,126,238920
ALGERIA,325414,805,3,126,872304
ALGERIA,325510,805,3,126,378746
ALGERIA,325520,805,3,126,948456
ALGERIA,325611,805,3,126,63726.999936273
ALGERIA,325612,805,3,126,3399.9999966
ALGERIA,325613,805,3,126,1186597.9988134
ALGERIA,325620,805,3,126,317725
ALGERIA,325910,805,3,126,20336
ALGERIA,325920,805,3,126,413061
ALGERIA,325992,805,3,126,12484
ALGERIA,325998,805,3,126,2690365
ALGERIA,326113,805,3,126,268294
ALGERIA,326150,805,3,126,2882
ALGERIA,326160,805,3,126,209796
ALGERIA,326199,805,3,126,101787
ALGERIA,326211,805,3,126,4557
ALGERIA,326220,805,3,126,162574
ALGERIA,326299,805,3,126,391478
ALGERIA,327110,805,3,126,272457
ALGERIA,327120,805,3,126,451985
ALGERIA,327212,805,3,126,1794648
ALGERIA,327215,805,3,126,132211
ALGERIA,327310,805,3,126,23046
ALGERIA,327331,805,3,126,3814
ALGERIA,327390,805,3,126,2580
ALGERIA,327910,805,3,126,53938
ALGERIA,327992,805,3,126,4950
ALGERIA,327999,805,3,126,48111
ALGERIA,331110,805,3,126,50390367
ALGERIA,331210,805,3,126,626622
ALGERIA,331313,805,3,126,14815
ALGERIA,331314,805,3,126,43077
ALGERIA,331420,805,3,126,41016
ALGERIA,331491,805,3,126,172896
ALGERIA,331511,805,3,126,232228
ALGERIA,331523,805,3,126,8135
ALGERIA,332111,805,3,126,88987
ALGERIA,332119,805,3,126,22897
ALGERIA,332215,805,3,126,33765.999966234
ALGERIA,332216,805,3,126,566482.999433517
ALGERIA,332312,805,3,126,28029.99997197
ALGERIA,332410,805,3,126,18827476
ALGERIA,332420,805,3,126,86206
ALGERIA,332439,805,3,126,129375
ALGERIA,332510,805,3,126,131340
ALGERIA,332613,805,3,126,88350
ALGERIA,332618,805,3,126,599434
ALGERIA,332722,805,3,126,533201
ALGERIA,332911,805,3,126,15794519
ALGERIA,332912,805,3,126,615861
ALGERIA,332919,805,3,126,488402
ALGERIA,332991,805,3,126,959764
ALGERIA,332994,805,3,126,541136.999458863
ALGERIA,332996,805,3,126,1107264
ALGERIA,332999,805,3,126,2423897
ALGERIA,333111,805,3,126,568177
ALGERIA,333112,805,3,126,7233
ALGERIA,333120,805,3,126,4401609
ALGERIA,333131,805,3,126,16759147
ALGERIA,333132,805,3,126,15656872
ALGERIA,333241,805,3,126,126540
ALGERIA,333243,805,3,126,49775
ALGERIA,333244,805,3,126,7605
ALGERIA,333249,805,3,126,388837
ALGERIA,333314,805,3,126,1374426
ALGERIA,333316,805,3,126,270585
ALGERIA,333318,805,3,126,6314947
ALGERIA,333413,805,3,126,3462811
ALGERIA,333414,805,3,126,1080007
ALGERIA,333415,805,3,126,984274
ALGERIA,333511,805,3,126,21777
ALGERIA,333514,805,3,126,416736
ALGERIA,333515,805,3,126,6706
ALGERIA,333517,805,3,126,4114535
ALGERIA,333611,805,3,126,33557102
ALGERIA,333612,805,3,126,1379429
ALGERIA,333613,805,3,126,2312722
ALGERIA,333618,805,3,126,16643343
ALGERIA,333912,805,3,126,4354781
ALGERIA,333914,805,3,126,3266081
ALGERIA,333922,805,3,126,1275640
ALGERIA,333923,805,3,126,201751
ALGERIA,333924,805,3,126,142902
ALGERIA,333991,805,3,126,95357
ALGERIA,333992,805,3,126,1483432
ALGERIA,333993,805,3,126,10927
ALGERIA,333994,805,3,126,76393
ALGERIA,333995,805,3,126,373155
ALGERIA,333996,805,3,126,769544
